onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.817	3.4	word	2	2	2.159
4.204	1.7	confidence	*	n/a	*
10.041	3.4	word	1	1	1.123
13.427	1.7	confidence	3	n/a	0.516
18.431	3.4	word	1	2	0.844
21.833	1.7	confidence	4	n/a	0.641
27.737	3.4	word	2	2	1.494
31.14	1.7	confidence	2	n/a	0.514
35.643	3.4	word	1	1	2.188
39.045	1.7	confidence	2	n/a	0.467
41.163	3.4	word	2	2	2.045
44.566	1.7	confidence	2	n/a	0.619
47.668	3.4	word	1	2	1.76
51.071	1.7	confidence	3	n/a	0.418
55.691	3.4	word	2	1	1.737
59.093	1.7	confidence	2	n/a	0.532
65.214	3.4	word	2	1	1.341
68.617	1.7	confidence	2	n/a	1.429
75.522	3.4	word	2	1	2.259
78.924	1.7	confidence	3	n/a	0.71
80.925	3.4	word	1	2	1.391
84.328	1.7	confidence	3	n/a	0.468
91.05	3.4	word	2	1	1.793
94.452	1.7	confidence	2	n/a	0.421
100.273	3.4	word	1	1	1.649
103.676	1.7	confidence	4	n/a	0.322
109.38	3.4	word	2	2	1.564
112.782	1.7	confidence	2	n/a	0.663
115.801	3.4	word	2	2	2.124
119.203	1.7	confidence	3	n/a	0.94
124.423	3.4	word	1	2	1.183
127.826	1.7	confidence	4	n/a	0.346
130.028	3.4	word	1	2	2.049
133.43	1.7	confidence	2	n/a	0.384
138.133	3.4	word	2	2	2.285
141.536	1.7	confidence	2	n/a	0.487
146.239	3.4	word	1	1	2.548
149.642	1.7	confidence	3	n/a	0.771
152.344	3.4	word	1	2	1.105
155.746	1.7	confidence	4	n/a	0.374
159.048	3.4	word	1	1	1.922
162.45	1.7	confidence	4	n/a	0.341
164.953	3.4	word	1	1	1.085
168.355	1.7	confidence	3	n/a	0.338
170.057	3.4	word	1	2	1.13
173.459	1.7	confidence	4	n/a	0.341
177.779	3.4	word	2	2	1.322
181.181	1.7	confidence	4	n/a	1.628
184.584	3.4	word	2	2	2.047
187.986	1.7	confidence	1	n/a	1.601
190.388	3.4	word	1	2	1.978
193.79	1.7	confidence	3	n/a	0.552
200.495	3.4	word	1	2	1.015
