onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.818	3.4	word	2	1	1.476
5.221	1.7	confidence	3	n/a	1.393
11.042	3.4	word	2	2	2.172
14.444	1.7	confidence	2	n/a	1.546
19.648	3.4	word	2	2	1.708
23.05	1.7	confidence	4	n/a	0.852
29.455	3.4	word	1	1	1.511
32.857	1.7	confidence	3	n/a	0.765
36.36	3.4	word	2	1	1.484
39.762	1.7	confidence	3	n/a	1.253
41.764	3.4	word	2	1	1.535
45.166	1.7	confidence	3	n/a	1.255
52.271	3.4	word	2	1	1.955
55.674	1.7	confidence	2	n/a	1.021
57.675	3.4	word	2	1	1.619
61.078	1.7	confidence	3	n/a	1.279
63.579	3.4	word	1	1	1.81
66.982	1.7	confidence	4	n/a	1.106
69.284	3.4	word	1	2	0.971
72.686	1.7	confidence	4	n/a	0.874
79.091	3.4	word	2	2	2.916
82.493	1.7	confidence	1	n/a	0.906
85.795	3.4	word	1	2	2.009
89.198	1.7	confidence	*	n/a	*
91.8	3.4	word	1	1	1.572
95.202	1.7	confidence	4	n/a	0.664
98.204	3.4	word	2	1	2.169
101.607	1.7	confidence	3	n/a	1.461
108.01	3.4	word	1	2	1.943
111.414	1.7	confidence	2	n/a	1.589
114.316	3.4	word	2	2	1.556
117.718	1.7	confidence	3	n/a	1.241
124.723	3.4	word	1	2	1.155
128.125	1.7	confidence	4	n/a	0.956
130.444	3.4	word	2	2	1.96
133.846	1.7	confidence	1	n/a	1.108
136.648	3.4	word	1	1	1.283
140.05	1.7	confidence	4	n/a	0.612
142.453	3.4	word	1	1	1.25
145.855	1.7	confidence	4	n/a	0.932
150.959	3.4	word	1	2	2.127
154.361	1.7	confidence	2	n/a	1.241
158.781	3.4	word	2	1	1.505
162.183	1.7	confidence	*	n/a	*
164.067	3.4	word	2	2	1.544
167.471	1.7	confidence	3	n/a	1.092
171.29	3.4	word	1	1	1.474
174.692	1.7	confidence	4	n/a	1.466
178.495	3.4	word	1	1	1.085
181.897	1.7	confidence	4	n/a	0.985
183.799	3.4	word	1	2	1.503
187.201	1.7	confidence	4	n/a	0.929
190.002	3.4	word	2	1	1.24
193.405	1.7	confidence	*	n/a	*
199.71	3.4	word	1	2	1.08
203.113	1.7	confidence	4	n/a	0.67
209.834	3.4	word	1	2	1.413
213.236	1.7	confidence	4	n/a	0.593
217.339	3.4	word	2	1	1.915
220.742	1.7	confidence	1	n/a	1.198
222.543	3.4	word	1	2	2.264
225.946	1.7	confidence	2	n/a	1.216
228.448	3.4	word	2	1	1.346
231.85	1.7	confidence	2	n/a	1.468
234.552	3.4	word	1	2	1.131
237.955	1.7	confidence	4	n/a	0.676
241.857	3.4	word	2	1	2.181
245.26	1.7	confidence	1	n/a	0.694
249.363	3.4	word	1	1	1.535
252.765	1.7	confidence	4	n/a	0.524
256.168	3.4	word	2	2	2.109
259.553	1.7	confidence	1	n/a	1.381
263.373	3.4	word	1	2	1.052
266.775	1.7	confidence	4	n/a	1.055
272.679	3.4	word	2	1	1.86
276.081	1.7	confidence	2	n/a	1.3
279.084	3.4	word	1	1	1.354
282.486	1.7	confidence	4	n/a	0.886
285.288	3.4	word	2	1	1.187
288.691	1.7	confidence	*	n/a	*
294.195	3.4	word	1	2	1.73
297.597	1.7	confidence	3	n/a	1.334
303.601	3.4	word	1	1	1.321
307.004	1.7	confidence	4	n/a	1.013
309.606	3.4	word	2	2	1.379
313.008	1.7	confidence	*	n/a	*
317.311	3.4	word	2	2	1.615
320.714	1.7	confidence	4	n/a	1.184
323.916	3.4	word	1	1	1.524
327.318	1.7	confidence	3	n/a	1.292
334.423	3.4	word	2	2	2.238
337.826	1.7	confidence	2	n/a	0.732
342.412	3.4	word	2	1	1.719
345.815	1.7	confidence	*	n/a	*
347.533	3.4	word	2	2	1.386
350.935	1.7	confidence	3	n/a	1.398
352.753	3.4	word	1	2	1.606
356.156	1.7	confidence	2	n/a	1.248
361.342	3.4	word	2	2	1.912
364.745	1.7	confidence	*	n/a	*
367.564	3.4	word	1	2	1.135
370.966	1.7	confidence	4	n/a	0.671
373.568	3.4	word	2	1	1.467
376.971	1.7	confidence	3	n/a	1.17
378.872	3.4	word	2	2	1.849
382.275	1.7	confidence	3	n/a	1.454
385.777	3.4	word	1	1	1.144
389.179	1.7	confidence	4	n/a	0.887
395.584	3.4	word	1	1	1.548
398.987	1.7	confidence	4	n/a	1.014
402.389	3.4	word	1	2	1.41
405.791	1.7	confidence	4	n/a	0.613
408.593	3.4	word	2	2	1.641
411.996	1.7	confidence	4	n/a	0.921
418.2	3.4	word	1	1	1.144
421.603	1.7	confidence	4	n/a	1.011
427.407	3.4	word	2	2	2.108
430.809	1.7	confidence	3	n/a	1.236
437.314	3.4	word	2	1	1.869
440.716	1.7	confidence	3	n/a	1.147
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.818	3.4	word	2	1	1.476
5.221	1.7	confidence	3	n/a	1.393
11.042	3.4	word	2	2	2.172
14.444	1.7	confidence	2	n/a	1.546
19.648	3.4	word	2	2	1.708
23.05	1.7	confidence	4	n/a	0.852
29.455	3.4	word	1	1	1.511
32.857	1.7	confidence	3	n/a	0.765
36.36	3.4	word	2	1	1.484
39.762	1.7	confidence	3	n/a	1.253
41.764	3.4	word	2	1	1.535
45.166	1.7	confidence	3	n/a	1.255
52.271	3.4	word	2	1	1.955
55.674	1.7	confidence	2	n/a	1.021
57.675	3.4	word	2	1	1.619
61.078	1.7	confidence	3	n/a	1.279
63.579	3.4	word	1	1	1.81
66.982	1.7	confidence	4	n/a	1.106
69.284	3.4	word	1	2	0.971
72.686	1.7	confidence	4	n/a	0.874
79.091	3.4	word	2	2	2.916
82.493	1.7	confidence	1	n/a	0.906
85.795	3.4	word	1	2	2.009
89.198	1.7	confidence	*	n/a	*
91.8	3.4	word	1	1	1.572
95.202	1.7	confidence	4	n/a	0.664
98.204	3.4	word	2	1	2.169
101.607	1.7	confidence	3	n/a	1.461
108.01	3.4	word	1	2	1.943
111.414	1.7	confidence	2	n/a	1.589
114.316	3.4	word	2	2	1.556
117.718	1.7	confidence	3	n/a	1.241
124.723	3.4	word	1	2	1.155
128.125	1.7	confidence	4	n/a	0.956
130.444	3.4	word	2	2	1.96
133.846	1.7	confidence	1	n/a	1.108
136.648	3.4	word	1	1	1.283
140.05	1.7	confidence	4	n/a	0.612
142.453	3.4	word	1	1	1.25
145.855	1.7	confidence	4	n/a	0.932
150.959	3.4	word	1	2	2.127
154.361	1.7	confidence	2	n/a	1.241
158.781	3.4	word	2	1	1.505
162.183	1.7	confidence	*	n/a	*
164.067	3.4	word	2	2	1.544
167.471	1.7	confidence	3	n/a	1.092
171.29	3.4	word	1	1	1.474
174.692	1.7	confidence	4	n/a	1.466
178.495	3.4	word	1	1	1.085
181.897	1.7	confidence	4	n/a	0.985
183.799	3.4	word	1	2	1.503
187.201	1.7	confidence	4	n/a	0.929
190.002	3.4	word	2	1	1.24
193.405	1.7	confidence	*	n/a	*
199.71	3.4	word	1	2	1.08
203.113	1.7	confidence	4	n/a	0.67
209.834	3.4	word	1	2	1.413
213.236	1.7	confidence	4	n/a	0.593
217.339	3.4	word	2	1	1.915
220.742	1.7	confidence	1	n/a	1.198
222.543	3.4	word	1	2	2.264
225.946	1.7	confidence	2	n/a	1.216
228.448	3.4	word	2	1	1.346
231.85	1.7	confidence	2	n/a	1.468
234.552	3.4	word	1	2	1.131
237.955	1.7	confidence	4	n/a	0.676
241.857	3.4	word	2	1	2.181
245.26	1.7	confidence	1	n/a	0.694
249.363	3.4	word	1	1	1.535
252.765	1.7	confidence	4	n/a	0.524
256.168	3.4	word	2	2	2.109
259.553	1.7	confidence	1	n/a	1.381
263.373	3.4	word	1	2	1.052
266.775	1.7	confidence	4	n/a	1.055
272.679	3.4	word	2	1	1.86
276.081	1.7	confidence	2	n/a	1.3
279.084	3.4	word	1	1	1.354
282.486	1.7	confidence	4	n/a	0.886
285.288	3.4	word	2	1	1.187
288.691	1.7	confidence	*	n/a	*
294.195	3.4	word	1	2	1.73
297.597	1.7	confidence	3	n/a	1.334
303.601	3.4	word	1	1	1.321
307.004	1.7	confidence	4	n/a	1.013
309.606	3.4	word	2	2	1.379
313.008	1.7	confidence	*	n/a	*
317.311	3.4	word	2	2	1.615
320.714	1.7	confidence	4	n/a	1.184
323.916	3.4	word	1	1	1.524
327.318	1.7	confidence	3	n/a	1.292
334.423	3.4	word	2	2	2.238
337.826	1.7	confidence	2	n/a	0.732
342.412	3.4	word	2	1	1.719
345.815	1.7	confidence	*	n/a	*
347.533	3.4	word	2	2	1.386
350.935	1.7	confidence	3	n/a	1.398
352.753	3.4	word	1	2	1.606
356.156	1.7	confidence	2	n/a	1.248
361.342	3.4	word	2	2	1.912
364.745	1.7	confidence	*	n/a	*
367.564	3.4	word	1	2	1.135
370.966	1.7	confidence	4	n/a	0.671
373.568	3.4	word	2	1	1.467
376.971	1.7	confidence	3	n/a	1.17
378.872	3.4	word	2	2	1.849
382.275	1.7	confidence	3	n/a	1.454
385.777	3.4	word	1	1	1.144
389.179	1.7	confidence	4	n/a	0.887
395.584	3.4	word	1	1	1.548
398.987	1.7	confidence	4	n/a	1.014
402.389	3.4	word	1	2	1.41
405.791	1.7	confidence	4	n/a	0.613
408.593	3.4	word	2	2	1.641
411.996	1.7	confidence	4	n/a	0.921
418.2	3.4	word	1	1	1.144
421.603	1.7	confidence	4	n/a	1.011
427.407	3.4	word	2	2	2.108
430.809	1.7	confidence	3	n/a	1.236
437.314	3.4	word	2	1	1.869
440.716	1.7	confidence	3	n/a	1.147
