onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
2.718	3.4	word	1	1	1.384
6.121	1.7	confidence	3	n/a	0.35
10.441	3.4	word	2	2	1.317
13.844	1.7	confidence	4	n/a	1.362
16.245	3.4	word	1	1	1.619
19.648	1.7	confidence	1	n/a	1.255
23.05	3.4	word	2	2	1.458
26.453	1.7	confidence	2	n/a	0.466
30.373	3.4	word	1	1	1.74
33.775	1.7	confidence	3	n/a	0.536
38.978	3.4	word	1	2	1.044
42.381	1.7	confidence	2	n/a	0.983
49.486	3.4	word	1	1	1.187
52.888	1.7	confidence	3	n/a	0.636
55.49	3.4	word	2	1	1.703
58.893	1.7	confidence	2	n/a	1.012
62.995	3.4	word	1	1	1.771
66.398	1.7	confidence	1	n/a	0.559
71.902	3.4	word	1	2	1.058
75.304	1.7	confidence	2	n/a	0.485
81.709	3.4	word	1	1	1.138
85.11	1.7	confidence	3	n/a	0.697
91.516	3.4	word	2	2	1.981
94.919	1.7	confidence	2	n/a	0.691
100.723	3.4	word	1	2	2.018
104.125	1.7	confidence	1	n/a	0.351
107.628	3.4	word	1	1	1.279
111.03	1.7	confidence	4	n/a	0.693
113.832	3.4	word	2	2	1.353
117.235	1.7	confidence	2	n/a	0.606
119.135	3.4	word	2	2	1.479
122.539	1.7	confidence	2	n/a	0.71
126.058	3.4	word	1	1	1.611
129.46	1.7	confidence	3	n/a	0.461
132.779	3.4	word	2	2	2.166
136.182	1.7	confidence	*	n/a	*
142.386	3.4	word	1	1	1.415
145.788	1.7	confidence	2	n/a	0.643
149.291	3.4	word	1	1	2.317
152.694	1.7	confidence	1	n/a	0.504
159.097	3.4	word	1	1	1.483
162.501	1.7	confidence	3	n/a	0.282
168.305	3.4	word	2	2	1.035
171.707	1.7	confidence	2	n/a	0.308
175.51	3.4	word	1	2	1.164
178.912	1.7	confidence	1	n/a	0.272
180.714	3.4	word	1	2	1.809
184.116	1.7	confidence	1	n/a	0.652
190.521	3.4	word	2	2	1.172
193.923	1.7	confidence	2	n/a	0.623
197.743	3.4	word	1	1	1.836
201.144	1.7	confidence	3	n/a	0.547
208.25	3.4	word	2	2	1.893
211.653	1.7	confidence	3	n/a	0.921
217.557	3.4	word	1	1	1.484
220.959	1.7	confidence	4	n/a	0.689
223.761	3.4	word	2	1	1.173
227.163	1.7	confidence	2	n/a	0.368
228.865	3.4	word	2	2	2.046
232.268	1.7	confidence	2	n/a	0.39
234.186	3.4	word	2	2	2.064
237.588	1.7	confidence	2	n/a	0.357
239.389	3.4	word	2	2	1.379
242.775	1.7	confidence	3	n/a	0.456
245.092	3.4	word	2	2	1.717
248.496	1.7	confidence	2	n/a	0.377
251.498	3.4	word	1	1	1.23
254.9	1.7	confidence	4	n/a	0.472
258.103	3.4	word	2	1	1.719
261.505	1.7	confidence	2	n/a	0.963
263.823	3.4	word	2	2	2.319
267.226	1.7	confidence	2	n/a	0.896
269.109	3.4	word	2	2	2.395
272.513	1.7	confidence	2	n/a	0.492
279.535	3.4	word	2	2	2.003
282.937	1.7	confidence	2	n/a	0.463
288.141	3.4	word	2	2	1.453
291.543	1.7	confidence	2	n/a	1.528
298.048	3.4	word	2	1	2.945
301.45	1.7	confidence	2	n/a	0.478
306.571	3.4	word	2	2	1.277
309.973	1.7	confidence	2	n/a	0.354
312.976	3.4	word	1	1	1.789
316.378	1.7	confidence	2	n/a	0.389
320.18	3.4	word	2	1	2.001
323.583	1.7	confidence	4	n/a	1.025
326.101	3.4	word	2	1	1.912
329.504	1.7	confidence	2	n/a	0.506
