onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.618	3.4	word	1	2	1.159
5.02	1.7	confidence	3	n/a	0.465
10.341	3.4	word	1	2	1.575
13.743	1.7	confidence	2	n/a	0.849
17.647	3.4	word	1	2	0.975
21.049	1.7	confidence	4	n/a	0.557
23.551	3.4	word	1	1	1.117
26.953	1.7	confidence	3	n/a	0.329
29.855	3.4	word	1	2	1.136
33.257	1.7	confidence	*	n/a	*
36.159	3.4	word	1	1	1.506
39.562	1.7	confidence	1	n/a	0.342
43.665	3.4	word	1	2	1.898
47.068	1.7	confidence	2	n/a	0.361
49.97	3.4	word	1	2	0.845
53.372	1.7	confidence	4	n/a	0.703
58.075	3.4	word	2	2	1.124
61.478	1.7	confidence	2	n/a	0.672
65.263	3.4	word	2	1	1.756
68.666	1.7	confidence	2	n/a	0.558
73.369	3.4	word	1	1	1.046
76.772	1.7	confidence	4	n/a	0.515
83.794	3.4	word	2	1	2.19
87.196	1.7	confidence	2	n/a	0.756
89.798	3.4	word	2	1	1.799
93.2	1.7	confidence	2	n/a	1.142
97.387	3.4	word	1	1	1.681
100.789	1.7	confidence	3	n/a	0.309
106.21	3.4	word	2	1	2.118
109.612	1.7	confidence	1	n/a	0.658
112.531	3.4	word	1	1	1.107
115.934	1.7	confidence	3	n/a	1.361
119.536	3.4	word	1	1	1.022
122.939	1.7	confidence	4	n/a	0.569
128.042	3.4	word	2	1	1.667
131.445	1.7	confidence	2	n/a	0.602
135.448	3.4	word	2	1	1.808
138.85	1.7	confidence	2	n/a	0.48
145.772	3.4	word	1	1	1.729
149.174	1.7	confidence	2	n/a	0.813
151.476	3.4	word	1	1	0.896
154.878	1.7	confidence	4	n/a	0.481
158.081	3.4	word	1	2	2.139
161.483	1.7	confidence	1	n/a	1.078
167.988	3.4	word	1	2	1.207
171.39	1.7	confidence	2	n/a	0.67
174.392	3.4	word	2	2	1.448
177.795	1.7	confidence	2	n/a	1.145
180.197	3.4	word	1	1	1.012
183.599	1.7	confidence	3	n/a	0.518
185.901	3.4	word	1	2	1.425
189.302	1.7	confidence	4	n/a	0.369
194.707	3.4	word	1	2	1.345
198.109	1.7	confidence	4	n/a	1.04
205.214	3.4	word	2	1	1.04
208.617	1.7	confidence	3	n/a	0.402
210.719	3.4	word	1	2	1.776
214.121	1.7	confidence	3	n/a	0.491
216.122	3.4	word	1	2	0.988
219.525	1.7	confidence	2	n/a	0.502
226.43	3.4	word	2	1	2.193
229.832	1.7	confidence	1	n/a	1.043
232.835	3.4	word	1	1	1.424
236.237	1.7	confidence	2	n/a	0.368
240.74	3.4	word	2	2	1.576
244.143	1.7	confidence	2	n/a	0.479
249.546	3.4	word	1	2	1.383
252.949	1.7	confidence	2	n/a	0.423
255.067	3.4	word	1	2	1.069
258.469	1.7	confidence	3	n/a	0.61
260.371	3.4	word	1	2	0.999
263.773	1.7	confidence	3	n/a	0.545
266.475	3.4	word	1	2	1.92
269.878	1.7	confidence	3	n/a	0.508
272.179	3.4	word	1	1	1.419
275.582	1.7	confidence	2	n/a	0.236
280.085	3.4	word	1	2	1.124
283.488	1.7	confidence	2	n/a	0.395
287.289	3.4	word	*	1	*
290.693	1.7	confidence	2	n/a	0.365
297.098	3.4	word	1	1	1.66
300.499	1.7	confidence	*	n/a	*
303.102	3.4	word	1	2	1.408
306.504	1.7	confidence	1	n/a	0.564
308.506	3.4	word	2	1	1.718
311.908	1.7	confidence	1	n/a	0.329
317.212	3.4	word	2	2	1.204
320.614	1.7	confidence	2	n/a	0.324
322.615	3.4	word	1	2	0.922
326.018	1.7	confidence	4	n/a	0.606
332.823	3.4	word	1	2	1.209
336.225	1.7	confidence	4	n/a	0.588
341.029	3.4	word	2	2	1.971
344.431	1.7	confidence	1	n/a	0.576
347.634	3.4	word	2	1	1.716
351.036	1.7	confidence	2	n/a	0.321
352.737	3.4	word	1	2	0.932
356.14	1.7	confidence	2	n/a	0.687
359.342	3.4	word	2	1	1.574
362.745	1.7	confidence	3	n/a	0.448
366.064	3.4	word	1	1	1.334
369.466	1.7	confidence	1	n/a	0.375
375.087	3.4	word	2	1	1.273
378.489	1.7	confidence	3	n/a	0.423
383.093	3.4	word	1	2	1.455
386.495	1.7	confidence	2	n/a	0.382
390.498	3.4	word	1	2	1.119
393.9	1.7	confidence	2	n/a	0.819
395.801	3.4	word	1	1	1.455
399.204	1.7	confidence	2	n/a	0.406
402.907	3.4	word	1	2	0.63
406.309	1.7	confidence	4	n/a	0.596
410.229	3.4	word	2	1	0.95
413.631	1.7	confidence	3	n/a	0.392
420.152	3.4	word	2	1	1.396
423.555	1.7	confidence	3	n/a	0.294
427.958	3.4	word	1	2	1.258
431.36	1.7	confidence	1	n/a	0.782
437.347	3.4	word	1	1	1.296
440.751	1.7	confidence	3	n/a	0.353
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.618	3.4	word	1	2	1.159
5.02	1.7	confidence	3	n/a	0.465
10.341	3.4	word	1	2	1.575
13.743	1.7	confidence	2	n/a	0.849
17.647	3.4	word	1	2	0.975
21.049	1.7	confidence	4	n/a	0.557
23.551	3.4	word	1	1	1.117
26.953	1.7	confidence	3	n/a	0.329
29.855	3.4	word	1	2	1.136
33.257	1.7	confidence	*	n/a	*
36.159	3.4	word	1	1	1.506
39.562	1.7	confidence	1	n/a	0.342
43.665	3.4	word	1	2	1.898
47.068	1.7	confidence	2	n/a	0.361
49.97	3.4	word	1	2	0.845
53.372	1.7	confidence	4	n/a	0.703
58.075	3.4	word	2	2	1.124
61.478	1.7	confidence	2	n/a	0.672
65.263	3.4	word	2	1	1.756
68.666	1.7	confidence	2	n/a	0.558
73.369	3.4	word	1	1	1.046
76.772	1.7	confidence	4	n/a	0.515
83.794	3.4	word	2	1	2.19
87.196	1.7	confidence	2	n/a	0.756
89.798	3.4	word	2	1	1.799
93.2	1.7	confidence	2	n/a	1.142
97.387	3.4	word	1	1	1.681
100.789	1.7	confidence	3	n/a	0.309
106.21	3.4	word	2	1	2.118
109.612	1.7	confidence	1	n/a	0.658
112.531	3.4	word	1	1	1.107
115.934	1.7	confidence	3	n/a	1.361
119.536	3.4	word	1	1	1.022
122.939	1.7	confidence	4	n/a	0.569
128.042	3.4	word	2	1	1.667
131.445	1.7	confidence	2	n/a	0.602
135.448	3.4	word	2	1	1.808
138.85	1.7	confidence	2	n/a	0.48
145.772	3.4	word	1	1	1.729
149.174	1.7	confidence	2	n/a	0.813
151.476	3.4	word	1	1	0.896
154.878	1.7	confidence	4	n/a	0.481
158.081	3.4	word	1	2	2.139
161.483	1.7	confidence	1	n/a	1.078
167.988	3.4	word	1	2	1.207
171.39	1.7	confidence	2	n/a	0.67
174.392	3.4	word	2	2	1.448
177.795	1.7	confidence	2	n/a	1.145
180.197	3.4	word	1	1	1.012
183.599	1.7	confidence	3	n/a	0.518
185.901	3.4	word	1	2	1.425
189.302	1.7	confidence	4	n/a	0.369
194.707	3.4	word	1	2	1.345
198.109	1.7	confidence	4	n/a	1.04
205.214	3.4	word	2	1	1.04
208.617	1.7	confidence	3	n/a	0.402
210.719	3.4	word	1	2	1.776
214.121	1.7	confidence	3	n/a	0.491
216.122	3.4	word	1	2	0.988
219.525	1.7	confidence	2	n/a	0.502
226.43	3.4	word	2	1	2.193
229.832	1.7	confidence	1	n/a	1.043
232.835	3.4	word	1	1	1.424
236.237	1.7	confidence	2	n/a	0.368
240.74	3.4	word	2	2	1.576
244.143	1.7	confidence	2	n/a	0.479
249.546	3.4	word	1	2	1.383
252.949	1.7	confidence	2	n/a	0.423
255.067	3.4	word	1	2	1.069
258.469	1.7	confidence	3	n/a	0.61
260.371	3.4	word	1	2	0.999
263.773	1.7	confidence	3	n/a	0.545
266.475	3.4	word	1	2	1.92
269.878	1.7	confidence	3	n/a	0.508
272.179	3.4	word	1	1	1.419
275.582	1.7	confidence	2	n/a	0.236
280.085	3.4	word	1	2	1.124
283.488	1.7	confidence	2	n/a	0.395
287.289	3.4	word	*	1	*
290.693	1.7	confidence	2	n/a	0.365
297.098	3.4	word	1	1	1.66
300.499	1.7	confidence	*	n/a	*
303.102	3.4	word	1	2	1.408
306.504	1.7	confidence	1	n/a	0.564
308.506	3.4	word	2	1	1.718
311.908	1.7	confidence	1	n/a	0.329
317.212	3.4	word	2	2	1.204
320.614	1.7	confidence	2	n/a	0.324
322.615	3.4	word	1	2	0.922
326.018	1.7	confidence	4	n/a	0.606
332.823	3.4	word	1	2	1.209
336.225	1.7	confidence	4	n/a	0.588
341.029	3.4	word	2	2	1.971
344.431	1.7	confidence	1	n/a	0.576
347.634	3.4	word	2	1	1.716
351.036	1.7	confidence	2	n/a	0.321
352.737	3.4	word	1	2	0.932
356.14	1.7	confidence	2	n/a	0.687
359.342	3.4	word	2	1	1.574
362.745	1.7	confidence	3	n/a	0.448
366.064	3.4	word	1	1	1.334
369.466	1.7	confidence	1	n/a	0.375
375.087	3.4	word	2	1	1.273
378.489	1.7	confidence	3	n/a	0.423
383.093	3.4	word	1	2	1.455
386.495	1.7	confidence	2	n/a	0.382
390.498	3.4	word	1	2	1.119
393.9	1.7	confidence	2	n/a	0.819
395.801	3.4	word	1	1	1.455
399.204	1.7	confidence	2	n/a	0.406
402.907	3.4	word	1	2	0.63
406.309	1.7	confidence	4	n/a	0.596
410.229	3.4	word	2	1	0.95
413.631	1.7	confidence	3	n/a	0.392
420.152	3.4	word	2	1	1.396
423.555	1.7	confidence	3	n/a	0.294
427.958	3.4	word	1	2	1.258
431.36	1.7	confidence	1	n/a	0.782
437.347	3.4	word	1	1	1.296
440.751	1.7	confidence	3	n/a	0.353
