onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.317	3.4	word	2	2	1.873
3.72	1.7	confidence	1	n/a	0.665
6.722	3.4	word	1	1	1.334
10.124	1.7	confidence	3	n/a	0.488
14.828	3.4	word	2	2	1.137
18.231	1.7	confidence	4	n/a	0.346
22.233	3.4	word	2	2	2.034
25.636	1.7	confidence	1	n/a	0.333
31.039	3.4	word	2	2	1.846
34.442	1.7	confidence	4	n/a	0.594
39.128	3.4	word	2	1	1.509
42.531	1.7	confidence	3	n/a	0.332
45.45	3.4	word	2	2	2.054
48.853	1.7	confidence	2	n/a	0.898
55.857	3.4	word	1	1	1.699
59.26	1.7	confidence	2	n/a	0.518
63.145	3.4	word	2	2	1.483
66.548	1.7	confidence	4	n/a	0.374
71.869	3.4	word	2	2	1.324
75.271	1.7	confidence	4	n/a	0.374
79.775	3.4	word	2	2	1.277
83.177	1.7	confidence	4	n/a	0.451
89.682	3.4	word	1	2	2.448
93.083	1.7	confidence	1	n/a	0.777
100.189	3.4	word	1	1	1.669
103.591	1.7	confidence	2	n/a	0.863
106.811	3.4	word	1	2	1.715
110.213	1.7	confidence	1	n/a	0.331
112.114	3.4	word	2	2	1.574
115.516	1.7	confidence	2	n/a	0.344
120.12	3.4	word	2	2	1.648
123.522	1.7	confidence	2	n/a	0.606
127.725	3.4	word	2	1	2.439
131.127	1.7	confidence	1	n/a	0.567
134.03	3.4	word	2	1	1.89
137.433	1.7	confidence	3	n/a	0.965
142.553	3.4	word	1	1	2.142
145.955	1.7	confidence	1	n/a	0.236
147.856	3.4	word	2	1	1.245
151.259	1.7	confidence	3	n/a	0.274
153.878	3.4	word	2	1	1.676
157.28	1.7	confidence	4	n/a	0.35
160.882	3.4	word	2	1	1.121
164.285	1.7	confidence	3	n/a	0.258
167.587	3.4	word	2	1	2.308
170.99	1.7	confidence	1	n/a	0.638
173.992	3.4	word	2	2	1.085
177.395	1.7	confidence	4	n/a	0.245
180.597	3.4	word	2	1	2.693
183.999	1.7	confidence	1	n/a	0.444
189.403	3.4	word	2	2	1.203
192.806	1.7	confidence	4	n/a	0.285
195.708	3.4	word	2	2	2.081
199.109	1.7	confidence	3	n/a	0.933
205.932	3.4	word	1	2	2.107
209.317	1.7	confidence	1	n/a	0.445
215.839	3.4	word	2	1	1.435
219.241	1.7	confidence	2	n/a	1.028
222.944	3.4	word	2	2	1.642
226.346	1.7	confidence	2	n/a	0.441
231.75	3.4	word	1	1	1.306
235.152	1.7	confidence	2	n/a	0.308
237.154	3.4	word	2	2	1.26
240.557	1.7	confidence	4	n/a	0.283
242.274	3.4	word	1	2	1.527
245.677	1.7	confidence	1	n/a	0.309
247.995	3.4	word	1	1	1.49
251.398	1.7	confidence	3	n/a	0.286
255.5	3.4	word	2	2	1.195
258.903	1.7	confidence	4	n/a	0.225
261.305	3.4	word	2	1	2.139
264.707	1.7	confidence	1	n/a	0.683
268.51	3.4	word	1	1	1.868
271.912	1.7	confidence	3	n/a	0.533
275.198	3.4	word	2	2	1.462
278.6	1.7	confidence	1	n/a	0.926
282.42	3.4	word	1	1	1.537
285.822	1.7	confidence	1	n/a	0.766
292.227	3.4	word	2	1	1.836
295.629	1.7	confidence	2	n/a	0.364
298.231	3.4	word	1	2	1.689
301.634	1.7	confidence	1	n/a	0.251
306.938	3.4	word	1	2	2.073
310.34	1.7	confidence	2	n/a	1.154
312.442	3.4	word	2	2	1.336
315.844	1.7	confidence	3	n/a	0.352
321.448	3.4	word	2	1	1.525
324.85	1.7	confidence	1	n/a	0.268
326.852	3.4	word	1	1	1.26
330.254	1.7	confidence	3	n/a	0.224
332.556	3.4	word	2	1	1.372
335.958	1.7	confidence	1	n/a	0.39
339.861	3.4	word	1	1	1.851
343.264	1.7	confidence	2	n/a	0.435
349.268	3.4	word	1	1	1.404
352.671	1.7	confidence	1	n/a	0.487
357.156	3.4	word	2	2	2.425
360.559	1.7	confidence	2	n/a	0.543
363.26	3.4	word	2	2	1.13
366.664	1.7	confidence	3	n/a	0.774
368.982	3.4	word	2	2	1.992
372.385	1.7	confidence	1	n/a	0.352
376.788	3.4	word	2	2	1.744
380.19	1.7	confidence	1	n/a	0.334
387.078	3.4	word	1	1	1.081
390.481	1.7	confidence	3	n/a	0.729
394.5	3.4	word	1	1	2.173
397.903	1.7	confidence	2	n/a	0.975
404.808	3.4	word	2	1	1.133
408.21	1.7	confidence	2	n/a	0.345
410.712	3.4	word	2	1	1.398
414.115	1.7	confidence	1	n/a	0.594
416.216	3.4	word	2	2	2.114
419.618	1.7	confidence	3	n/a	0.443
422.521	3.4	word	2	1	1.064
425.923	1.7	confidence	2	n/a	0.457
430.726	3.4	word	2	2	1.353
434.129	1.7	confidence	3	n/a	0.461
437.331	3.4	word	1	1	2.134
440.734	1.7	confidence	4	n/a	0.696
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.317	3.4	word	2	2	1.873
3.72	1.7	confidence	1	n/a	0.665
6.722	3.4	word	1	1	1.334
10.124	1.7	confidence	3	n/a	0.488
14.828	3.4	word	2	2	1.137
18.231	1.7	confidence	4	n/a	0.346
22.233	3.4	word	2	2	2.034
25.636	1.7	confidence	1	n/a	0.333
31.039	3.4	word	2	2	1.846
