onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.334	3.4	word	*	2	*
3.72	1.7	confidence	1	n/a	0.212
6.455	3.4	word	1	2	1.507
9.841	1.7	confidence	3	n/a	0.953
12.643	3.4	word	1	1	1.469
16.046	1.7	confidence	4	n/a	0.697
21.849	3.4	word	2	1	1.13
25.252	1.7	confidence	3	n/a	0.652
28.855	3.4	word	2	2	1.551
32.257	1.7	confidence	2	n/a	0.764
39.362	3.4	word	1	1	1.217
42.765	1.7	confidence	3	n/a	0.918
46.668	3.4	word	1	1	1.326
50.07	1.7	confidence	3	n/a	0.613
52.472	3.4	word	1	2	1.443
55.874	1.7	confidence	2	n/a	0.852
57.575	3.4	word	1	1	1.201
60.978	1.7	confidence	3	n/a	0.809
63.196	3.4	word	1	2	1.851
66.599	1.7	confidence	1	n/a	0.987
70.801	3.4	word	1	2	1.057
74.204	1.7	confidence	3	n/a	0.621
78.007	3.4	word	1	1	0.983
81.408	1.7	confidence	3	n/a	1.317
87.313	3.4	word	1	2	1.064
90.716	1.7	confidence	4	n/a	1.184
93.118	3.4	word	1	1	1.473
96.52	1.7	confidence	2	n/a	0.613
102.525	3.4	word	2	2	1.693
105.927	1.7	confidence	2	n/a	0.861
107.729	3.4	word	1	1	1.096
111.131	1.7	confidence	4	n/a	0.978
117.836	3.4	word	1	2	1.278
121.238	1.7	confidence	*	n/a	*
124.841	3.4	word	1	1	1.19
128.243	1.7	confidence	4	n/a	0.847
129.944	3.4	word	2	2	1.258
133.347	1.7	confidence	3	n/a	0.722
139.451	3.4	word	1	1	1.113
142.854	1.7	confidence	1	n/a	0.637
145.372	3.4	word	2	1	1.491
148.775	1.7	confidence	2	n/a	0.93
151.176	3.4	word	1	2	1.368
154.579	1.7	confidence	2	n/a	1.143
157.881	3.4	word	1	2	0.924
161.284	1.7	confidence	3	n/a	0.777
167.188	3.4	word	2	2	1.172
170.59	1.7	confidence	3	n/a	0.616
174.593	3.4	word	1	1	1.197
177.995	1.7	confidence	2	n/a	0.567
181.397	3.4	word	1	1	1.048
184.8	1.7	confidence	3	n/a	0.517
187.302	3.4	word	1	1	1.231
190.705	1.7	confidence	3	n/a	0.8
194.007	3.4	word	1	1	1.207
197.408	1.7	confidence	1	n/a	1.211
200.512	3.4	word	2	2	1.078
203.914	1.7	confidence	3	n/a	0.606
208.618	3.4	word	1	1	1.056
212.02	1.7	confidence	3	n/a	0.942
213.821	3.4	word	1	1	1.349
217.224	1.7	confidence	3	n/a	0.736
224.112	3.4	word	1	1	1.048
227.514	1.7	confidence	4	n/a	1.004
229.232	3.4	word	1	1	1.143
232.634	1.7	confidence	3	n/a	0.425
237.555	3.4	word	2	1	1.66
240.941	1.7	confidence	1	n/a	0.59
246.662	3.4	word	2	2	1.076
250.064	1.7	confidence	4	n/a	0.627
253.449	3.4	word	2	2	1.131
256.852	1.7	confidence	3	n/a	0.638
259.371	3.4	word	1	2	1.899
262.773	1.7	confidence	1	n/a	0.647
264.574	3.4	word	1	2	2.238
267.977	1.7	confidence	1	n/a	0.722
270.078	3.4	word	2	2	1.826
273.48	1.7	confidence	2	n/a	0.453
276.483	3.4	word	2	2	1.739
279.886	1.7	confidence	2	n/a	0.88
284.589	3.4	word	1	1	2.38
287.991	1.7	confidence	3	n/a	0.743
293.795	3.4	word	1	1	1.012
297.197	1.7	confidence	3	n/a	0.508
302.402	3.4	word	2	2	1.477
305.804	1.7	confidence	3	n/a	0.477
310.824	3.4	word	2	2	2.53
314.227	1.7	confidence	1	n/a	0.534
317.329	3.4	word	2	2	1.141
320.731	1.7	confidence	2	n/a	0.608
323.834	3.4	word	1	2	1.793
327.236	1.7	confidence	1	n/a	0.957
332.54	3.4	word	2	1	1.814
335.942	1.7	confidence	2	n/a	0.801
342.247	3.4	word	2	2	1.231
345.649	1.7	confidence	4	n/a	0.889
347.851	3.4	word	2	2	1.513
351.253	1.7	confidence	3	n/a	0.354
357.758	3.4	word	2	1	1.511
361.16	1.7	confidence	2	n/a	0.403
367.665	3.4	word	1	1	1.059
371.068	1.7	confidence	4	n/a	0.832
375.771	3.4	word	2	2	1.377
379.173	1.7	confidence	2	n/a	1.159
383.376	3.4	word	1	1	1.066
386.779	1.7	confidence	*	n/a	*
390.281	3.4	word	1	1	1.406
