onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.118	3.4	word	1	1	1.077
4.52	1.7	confidence	3	n/a	0.352
9.24	3.4	word	2	2	1.959
12.643	1.7	confidence	3	n/a	0.351
16.446	3.4	word	1	1	1.089
19.848	1.7	confidence	2	n/a	0.353
24.151	3.4	word	2	2	1.331
27.554	1.7	confidence	4	n/a	0.706
31.256	3.4	word	2	2	1.268
34.659	1.7	confidence	4	n/a	0.285
41.463	3.4	word	2	2	1.898
44.866	1.7	confidence	2	n/a	0.501
49.169	3.4	word	1	1	1.104
52.572	1.7	confidence	3	n/a	0.436
54.973	3.4	word	1	1	1.526
58.375	1.7	confidence	2	n/a	0.339
61.495	3.4	word	2	2	1.054
64.897	1.7	confidence	4	n/a	0.406
71.702	3.4	word	1	1	0.984
75.104	1.7	confidence	3	n/a	0.308
79.525	3.4	word	1	1	1.05
82.927	1.7	confidence	2	n/a	0.36
84.644	3.4	word	2	2	1.179
88.047	1.7	confidence	2	n/a	0.289
94.869	3.4	word	2	1	1.443
98.254	1.7	confidence	3	n/a	0.584
102.174	3.4	word	2	2	1.224
105.576	1.7	confidence	2	n/a	0.484
107.378	3.4	word	1	1	2.116
110.779	1.7	confidence	2	n/a	0.441
114.266	3.4	word	2	1	1.064
117.668	1.7	confidence	4	n/a	0.334
122.688	3.4	word	2	2	1.032
126.091	1.7	confidence	4	n/a	0.293
132.295	3.4	word	1	1	1.216
135.698	1.7	confidence	3	n/a	0.382
140.901	3.4	word	2	1	1.309
144.304	1.7	confidence	3	n/a	0.304
149.308	3.4	word	2	2	1.003
152.709	1.7	confidence	3	n/a	0.328
156.613	3.4	word	1	1	1.84
160.015	1.7	confidence	1	n/a	0.378
163.017	3.4	word	2	1	1.796
166.42	1.7	confidence	1	n/a	0.585
168.321	3.4	word	2	1	1.473
171.723	1.7	confidence	3	n/a	0.282
173.925	3.4	word	1	2	1.121
177.327	1.7	confidence	1	n/a	0.302
179.329	3.4	word	2	2	1.52
182.73	1.7	confidence	4	n/a	0.562
184.715	3.4	word	2	1	1.717
188.119	1.7	confidence	1	n/a	0.289
194.94	3.4	word	1	2	2.0
198.343	1.7	confidence	1	n/a	0.573
205.048	3.4	word	2	2	1.927
208.45	1.7	confidence	1	n/a	0.525
212.452	3.4	word	2	2	1.046
215.855	1.7	confidence	4	n/a	0.414
218.357	3.4	word	2	1	1.113
221.743	1.7	confidence	3	n/a	0.345
223.961	3.4	word	2	2	1.914
227.364	1.7	confidence	2	n/a	0.544
229.065	3.4	word	2	2	1.603
232.467	1.7	confidence	3	n/a	0.289
234.585	3.4	word	2	1	1.113
237.988	1.7	confidence	3	n/a	0.303
240.49	3.4	word	1	1	1.567
243.892	1.7	confidence	1	n/a	0.436
249.412	3.4	word	2	2	2.3
252.815	1.7	confidence	3	n/a	0.763
254.715	3.4	word	2	2	2.141
258.119	1.7	confidence	1	n/a	0.812
264.223	3.4	word	1	1	1.832
267.625	1.7	confidence	2	n/a	0.357
269.427	3.4	word	1	1	1.749
272.829	1.7	confidence	1	n/a	0.37
278.033	3.4	word	1	1	1.613
281.435	1.7	confidence	2	n/a	0.268
283.237	3.4	word	2	1	1.276
286.622	1.7	confidence	3	n/a	0.347
293.744	3.4	word	2	2	0.972
297.147	1.7	confidence	4	n/a	0.296
299.465	3.4	word	2	1	2.674
302.867	1.7	confidence	1	n/a	0.529
306.571	3.4	word	2	2	2.451
309.973	1.7	confidence	2	n/a	0.603
311.774	3.4	word	1	1	1.075
315.176	1.7	confidence	2	n/a	0.668
319.88	3.4	word	1	1	1.089
323.282	1.7	confidence	3	n/a	0.396
328.686	3.4	word	2	2	1.27
332.088	1.7	confidence	4	n/a	0.553
334.19	3.4	word	1	1	1.083
337.592	1.7	confidence	2	n/a	0.378
344.597	3.4	word	2	2	1.715
