onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.118	3.4	word	2	2	1.952
4.52	1.7	confidence	2	n/a	0.491
7.422	3.4	word	1	2	1.558
10.825	1.7	confidence	2	n/a	0.462
14.644	3.4	word	1	1	2.438
18.047	1.7	confidence	3	n/a	1.319
22.15	3.4	word	2	1	1.876
25.552	1.7	confidence	2	n/a	0.558
31.973	3.4	word	1	1	1.264
35.376	1.7	confidence	4	n/a	0.488
41.197	3.4	word	1	2	1.422
44.599	1.7	confidence	3	n/a	0.722
48.902	3.4	word	2	2	1.529
52.305	1.7	confidence	2	n/a	0.364
55.79	3.4	word	1	1	1.12
59.193	1.7	confidence	3	n/a	0.38
65.915	3.4	word	2	2	1.681
69.316	1.7	confidence	2	n/a	0.493
74.521	3.4	word	2	2	1.623
77.923	1.7	confidence	4	n/a	0.596
79.807	3.4	word	2	2	1.191
83.21	1.7	confidence	1	n/a	0.242
85.529	3.4	word	2	2	1.491
88.931	1.7	confidence	1	n/a	0.376
92.133	3.4	word	2	1	1.533
95.536	1.7	confidence	1	n/a	0.383
101.524	3.4	word	1	1	1.035
104.926	1.7	confidence	4	n/a	0.458
110.046	3.4	word	2	2	1.128
113.448	1.7	confidence	2	n/a	0.335
116.05	3.4	word	1	1	1.646
119.453	1.7	confidence	4	n/a	0.348
125.84	3.4	word	1	2	1.365
129.244	1.7	confidence	3	n/a	0.591
134.764	3.4	word	2	2	1.664
138.166	1.7	confidence	2	n/a	0.468
141.686	3.4	word	1	1	1.317
145.088	1.7	confidence	4	n/a	0.415
148.891	3.4	word	2	2	2.943
152.293	1.7	confidence	3	n/a	0.478
155.095	3.4	word	2	1	1.316
158.498	1.7	confidence	2	n/a	0.271
160.299	3.4	word	1	2	2.147
163.701	1.7	confidence	2	n/a	0.334
166.103	3.4	word	1	1	2.093
169.506	1.7	confidence	3	n/a	0.427
173.425	3.4	word	1	1	0.968
176.811	1.7	confidence	4	n/a	0.372
183.933	3.4	word	1	2	2.395
187.335	1.7	confidence	2	n/a	0.497
189.237	3.4	word	1	2	1.317
192.639	1.7	confidence	2	n/a	0.236
195.941	3.4	word	2	2	1.76
199.344	1.7	confidence	2	n/a	0.546
201.345	3.4	word	1	1	1.26
204.748	1.7	confidence	3	n/a	0.344
206.649	3.4	word	2	2	2.041
210.052	1.7	confidence	1	n/a	0.612
216.573	3.4	word	1	1	0.93
219.975	1.7	confidence	4	n/a	0.379
225.179	3.4	word	2	2	0.932
228.581	1.7	confidence	3	n/a	0.467
231.584	3.4	word	1	1	1.384
234.986	1.7	confidence	3	n/a	0.398
239.389	3.4	word	2	1	1.538
242.792	1.7	confidence	2	n/a	0.521
245.394	3.4	word	2	2	1.584
248.796	1.7	confidence	2	n/a	0.599
250.798	3.4	word	1	1	0.833
254.2	1.7	confidence	4	n/a	0.412
256.902	3.4	word	2	2	1.246
260.304	1.7	confidence	1	n/a	0.456
262.906	3.4	word	1	1	1.629
266.308	1.7	confidence	3	n/a	0.405
270.912	3.4	word	2	1	2.37
274.315	1.7	confidence	*	n/a	*
280.218	3.4	word	2	1	1.418
283.621	1.7	confidence	2	n/a	0.432
289.926	3.4	word	2	2	1.391
293.328	1.7	confidence	2	n/a	0.743
300.333	3.4	word	2	2	1.304
303.736	1.7	confidence	2	n/a	0.375
306.738	3.4	word	*	1	*
310.14	1.7	confidence	3	n/a	0.386
311.841	3.4	word	2	2	1.087
315.244	1.7	confidence	2	n/a	0.338
318.763	3.4	word	2	1	0.854
322.166	1.7	confidence	1	n/a	0.428
325.985	3.4	word	2	1	1.405
329.387	1.7	confidence	2	n/a	0.391
333.49	3.4	word	2	1	1.929
336.893	1.7	confidence	2	n/a	0.39
339.695	3.4	word	1	1	1.195
343.097	1.7	confidence	4	n/a	0.427
345.883	3.4	word	1	1	1.147
349.285	1.7	confidence	3	n/a	0.374
351.604	3.4	word	2	2	1.195
355.006	1.7	confidence	2	n/a	0.461
358.408	3.4	word	2	2	1.892
361.81	1.7	confidence	2	n/a	0.987
364.313	3.4	word	1	1	0.959
367.715	1.7	confidence	4	n/a	0.446
371.118	3.4	word	2	2	2.024
374.52	1.7	confidence	2	n/a	0.402
380.924	3.4	word	1	1	0.834
384.327	1.7	confidence	4	n/a	0.426
390.131	3.4	word	2	2	1.706
393.533	1.7	confidence	1	n/a	0.484
395.335	3.4	word	2	2	1.39
398.737	1.7	confidence	3	n/a	0.576
401.539	3.4	word	2	2	1.678
404.942	1.7	confidence	2	n/a	0.543
407.461	3.4	word	1	1	1.404
410.863	1.7	confidence	3	n/a	0.905
417.968	3.4	word	2	1	1.639
421.37	1.7	confidence	1	n/a	0.308
427.774	3.4	word	1	2	2.05
431.177	1.7	confidence	2	n/a	0.351
437.382	3.4	word	1	1	1.138
440.784	1.7	confidence	4	n/a	0.289
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
1.118	3.4	word	2	2	1.952
4.52	1.7	confidence	2	n/a	0.491
7.422	3.4	word	1	2	1.558
10.825	1.7	confidence	2	n/a	0.462
14.644	3.4	word	1	1	2.438
18.047	1.7	confidence	3	n/a	1.319
22.15	3.4	word	2	1	1.876
25.552	1.7	confidence	2	n/a	0.558
31.973	3.4	word	1	1	1.264
35.376	1.7	confidence	4	n/a	0.488
41.197	3.4	word	1	2	1.422
44.599	1.7	confidence	3	n/a	0.722
48.902	3.4	word	2	2	1.529
52.305	1.7	confidence	2	n/a	0.364
55.79	3.4	word	1	1	1.12
59.193	1.7	confidence	3	n/a	0.38
65.915	3.4	word	2	2	1.681
69.316	1.7	confidence	2	n/a	0.493
74.521	3.4	word	2	2	1.623
77.923	1.7	confidence	4	n/a	0.596
79.807	3.4	word	2	2	1.191
83.21	1.7	confidence	1	n/a	0.242
85.529	3.4	word	2	2	1.491
88.931	1.7	confidence	1	n/a	0.376
92.133	3.4	word	2	1	1.533
95.536	1.7	confidence	1	n/a	0.383
101.524	3.4	word	1	1	1.035
104.926	1.7	confidence	4	n/a	0.458
110.046	3.4	word	2	2	1.128
113.448	1.7	confidence	2	n/a	0.335
116.05	3.4	word	1	1	1.646
119.453	1.7	confidence	4	n/a	0.348
125.84	3.4	word	1	2	1.365
129.244	1.7	confidence	3	n/a	0.591
134.764	3.4	word	2	2	1.664
138.166	1.7	confidence	2	n/a	0.468
141.686	3.4	word	1	1	1.317
145.088	1.7	confidence	4	n/a	0.415
148.891	3.4	word	2	2	2.943
152.293	1.7	confidence	3	n/a	0.478
155.095	3.4	word	2	1	1.316
158.498	1.7	confidence	2	n/a	0.271
160.299	3.4	word	1	2	2.147
163.701	1.7	confidence	2	n/a	0.334
166.103	3.4	word	1	1	2.093
169.506	1.7	confidence	3	n/a	0.427
173.425	3.4	word	1	1	0.968
176.811	1.7	confidence	4	n/a	0.372
183.933	3.4	word	1	2	2.395
187.335	1.7	confidence	2	n/a	0.497
189.237	3.4	word	1	2	1.317
192.639	1.7	confidence	2	n/a	0.236
195.941	3.4	word	2	2	1.76
199.344	1.7	confidence	2	n/a	0.546
201.345	3.4	word	1	1	1.26
204.748	1.7	confidence	3	n/a	0.344
206.649	3.4	word	2	2	2.041
210.052	1.7	confidence	1	n/a	0.612
216.573	3.4	word	1	1	0.93
219.975	1.7	confidence	4	n/a	0.379
225.179	3.4	word	2	2	0.932
228.581	1.7	confidence	3	n/a	0.467
231.584	3.4	word	1	1	1.384
234.986	1.7	confidence	3	n/a	0.398
239.389	3.4	word	2	1	1.538
242.792	1.7	confidence	2	n/a	0.521
245.394	3.4	word	2	2	1.584
248.796	1.7	confidence	2	n/a	0.599
250.798	3.4	word	1	1	0.833
254.2	1.7	confidence	4	n/a	0.412
256.902	3.4	word	2	2	1.246
260.304	1.7	confidence	1	n/a	0.456
262.906	3.4	word	1	1	1.629
266.308	1.7	confidence	3	n/a	0.405
270.912	3.4	word	2	1	2.37
274.315	1.7	confidence	*	n/a	*
280.218	3.4	word	2	1	1.418
283.621	1.7	confidence	2	n/a	0.432
289.926	3.4	word	2	2	1.391
293.328	1.7	confidence	2	n/a	0.743
300.333	3.4	word	2	2	1.304
303.736	1.7	confidence	2	n/a	0.375
306.738	3.4	word	*	1	*
310.14	1.7	confidence	3	n/a	0.386
311.841	3.4	word	2	2	1.087
315.244	1.7	confidence	2	n/a	0.338
318.763	3.4	word	2	1	0.854
322.166	1.7	confidence	1	n/a	0.428
325.985	3.4	word	2	1	1.405
329.387	1.7	confidence	2	n/a	0.391
333.49	3.4	word	2	1	1.929
336.893	1.7	confidence	2	n/a	0.39
339.695	3.4	word	1	1	1.195
343.097	1.7	confidence	4	n/a	0.427
345.883	3.4	word	1	1	1.147
349.285	1.7	confidence	3	n/a	0.374
351.604	3.4	word	2	2	1.195
355.006	1.7	confidence	2	n/a	0.461
358.408	3.4	word	2	2	1.892
361.81	1.7	confidence	2	n/a	0.987
364.313	3.4	word	1	1	0.959
367.715	1.7	confidence	4	n/a	0.446
371.118	3.4	word	2	2	2.024
374.52	1.7	confidence	2	n/a	0.402
380.924	3.4	word	1	1	0.834
384.327	1.7	confidence	4	n/a	0.426
390.131	3.4	word	2	2	1.706
393.533	1.7	confidence	1	n/a	0.484
395.335	3.4	word	2	2	1.39
398.737	1.7	confidence	3	n/a	0.576
401.539	3.4	word	2	2	1.678
404.942	1.7	confidence	2	n/a	0.543
407.461	3.4	word	1	1	1.404
410.863	1.7	confidence	3	n/a	0.905
417.968	3.4	word	2	1	1.639
421.37	1.7	confidence	1	n/a	0.308
427.774	3.4	word	1	2	2.05
431.177	1.7	confidence	2	n/a	0.351
437.382	3.4	word	1	1	1.138
440.784	1.7	confidence	4	n/a	0.289
