onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.317	3.4	word	1	1	1.822
3.72	1.7	confidence	2	n/a	1.392
6.939	3.4	word	2	2	1.491
10.341	1.7	confidence	1	n/a	0.398
14.345	3.4	word	2	1	1.487
17.746	1.7	confidence	1	n/a	0.358
24.251	3.4	word	1	1	1.912
27.654	1.7	confidence	4	n/a	0.454
31.457	3.4	word	2	1	1.307
34.858	1.7	confidence	3	n/a	0.856
39.963	3.4	word	2	1	1.476
43.365	1.7	confidence	2	n/a	1.024
50.47	3.4	word	1	1	2.343
53.873	1.7	confidence	2	n/a	0.987
59.276	3.4	word	1	2	2.139
62.679	1.7	confidence	3	n/a	0.35
65.881	3.4	word	2	1	1.716
69.284	1.7	confidence	2	n/a	0.532
76.289	3.4	word	2	1	1.977
79.691	1.7	confidence	2	n/a	0.938
81.993	3.4	word	1	2	2.076
85.395	1.7	confidence	3	n/a	0.436
89.198	3.4	word	2	1	1.653
92.6	1.7	confidence	1	n/a	0.909
96.203	3.4	word	2	1	1.198
99.605	1.7	confidence	2	n/a	0.842
104.893	3.4	word	2	2	1.611
108.295	1.7	confidence	1	n/a	0.312
110.413	3.4	word	1	2	2.004
113.815	1.7	confidence	2	n/a	0.528
119.82	3.4	word	1	1	1.958
123.221	1.7	confidence	3	n/a	0.689
126.541	3.4	word	2	1	1.762
129.944	1.7	confidence	2	n/a	0.804
136.448	3.4	word	2	2	1.589
139.851	1.7	confidence	3	n/a	0.692
143.754	3.4	word	2	2	1.217
147.156	1.7	confidence	2	n/a	0.397
153.977	3.4	word	2	2	1.321
157.38	1.7	confidence	3	n/a	0.585
161.083	3.4	word	2	2	1.321
164.485	1.7	confidence	3	n/a	0.381
166.786	3.4	word	1	1	2.662
170.189	1.7	confidence	1	n/a	0.55
174.309	3.4	word	2	2	1.37
177.711	1.7	confidence	2	n/a	0.267
180.73	3.4	word	2	2	1.743
184.133	1.7	confidence	2	n/a	0.887
188.92	3.4	word	1	2	1.354
192.322	1.7	confidence	3	n/a	0.431
196.742	3.4	word	2	2	2.414
200.144	1.7	confidence	2	n/a	0.523
203.346	3.4	word	1	1	1.557
206.749	1.7	confidence	1	n/a	0.428
209.351	3.4	word	2	2	1.799
212.753	1.7	confidence	2	n/a	0.678
217.256	3.4	word	2	2	1.188
220.659	1.7	confidence	2	n/a	0.689
227.564	3.4	word	1	1	1.321
230.966	1.7	confidence	2	n/a	0.37
236.353	3.4	word	1	1	1.158
239.756	1.7	confidence	3	n/a	0.529
246.677	3.4	word	2	1	1.794
250.08	1.7	confidence	2	n/a	0.947
252.782	3.4	word	1	2	2.587
256.184	1.7	confidence	2	n/a	0.649
260.688	3.4	word	1	2	1.795
264.09	1.7	confidence	3	n/a	0.301
268.793	3.4	word	2	2	1.862
272.196	1.7	confidence	2	n/a	0.513
277.6	3.4	word	2	2	1.623
281.002	1.7	confidence	4	n/a	0.739
284.305	3.4	word	2	2	1.3
287.707	1.7	confidence	2	n/a	0.508
293.311	3.4	word	2	1	1.545
296.713	1.7	confidence	3	n/a	0.728
300.899	3.4	word	1	1	0.946
304.302	1.7	confidence	3	n/a	0.343
309.022	3.4	word	2	1	1.61
312.425	1.7	confidence	1	n/a	0.724
314.426	3.4	word	1	2	1.942
317.828	1.7	confidence	2	n/a	0.351
320.73	3.4	word	2	2	1.837
324.133	1.7	confidence	1	n/a	0.369
329.437	3.4	word	2	2	1.09
332.839	1.7	confidence	3	n/a	0.585
334.823	3.4	word	2	2	1.765
338.226	1.7	confidence	2	n/a	0.433
340.144	3.4	word	2	2	1.909
343.547	1.7	confidence	3	n/a	0.32
346.449	3.4	word	1	1	1.652
349.851	1.7	confidence	1	n/a	0.594
356.256	3.4	word	2	1	1.535
359.659	1.7	confidence	1	n/a	0.305
361.359	3.4	word	2	2	1.527
364.762	1.7	confidence	2	n/a	0.241
367.781	3.4	word	1	1	2.018
371.183	1.7	confidence	2	n/a	0.762
373.302	3.4	word	2	2	1.27
376.704	1.7	confidence	1	n/a	0.326
380.607	3.4	word	2	1	1.903
384.009	1.7	confidence	2	n/a	0.827
386.328	3.4	word	1	1	1.786
389.73	1.7	confidence	1	n/a	0.521
392.332	3.4	word	2	1	2.249
395.734	1.7	confidence	1	n/a	0.491
398.136	3.4	word	1	1	1.916
401.538	1.7	confidence	4	n/a	0.592
404.441	3.4	word	2	2	2.732
407.843	1.7	confidence	3	n/a	0.501
