onset	duration	trial_type	stimuli_response	correct_answer	reaction_time 
1.118	3.4	word	1	1	1.278 
4.52	1.7	confidence	4	n/a	0.566 
6.739	3.4	word	1	2	1.964 
10.14	1.7	confidence	2	n/a	0.534 
11.959	3.4	word	2	1	1.377 
15.361	1.7	confidence	2	n/a	0.554 
18.247	3.4	word	2	1	1.725 
21.649	1.7	confidence	2	n/a	0.551 
26.369	3.4	word	2	2	2.188 
29.772	1.7	confidence	1	n/a	0.768 
33.975	3.4	word	1	1	2.114 
37.377	1.7	confidence	2	n/a	0.503 
39.679	3.4	word	1	1	1.403 
43.081	1.7	confidence	4	n/a	0.58 
50.087	3.4	word	2	2	2.524 
53.489	1.7	confidence	2	n/a	0.547 
58.492	3.4	word	1	2	3.047 
61.895	1.7	confidence	1	n/a	0.403 
67.098	3.4	word	2	1	2.413 
70.501	1.7	confidence	2	n/a	0.392 
72.92	3.4	word	2	1	3.154 
76.322	1.7	confidence	1	n/a	1.28 
82.526	3.4	word	1	1	2.22 
85.929	1.7	confidence	3	n/a	0.81 
89.932	3.4	word	1	2	1.304 
93.334	1.7	confidence	2	n/a	0.415 
99.439	3.4	word	1	1	1.415 
102.841	1.7	confidence	3	n/a	0.608 
108.045	3.4	word	1	1	1.568 
111.447	1.7	confidence	4	n/a	0.526 
115.75	3.4	word	2	2	1.677 
119.153	1.7	confidence	2	n/a	0.667 
125.557	3.4	word	1	2	1.563 
128.96	1.7	confidence	2	n/a	0.675 
131.061	3.4	word	2	1	2.134 
134.447	1.7	confidence	2	n/a	0.899 
136.966	3.4	word	*	1	* 
140.368	1.7	confidence	*	n/a	* 
142.77	3.4	word	2	2	1.969 
146.171	1.7	confidence	1	n/a	0.487 
149.875	3.4	word	2	2	1.622 
153.277	1.7	confidence	3	n/a	0.415 
159.482	3.4	word	2	2	2.194 
162.884	1.7	confidence	2	n/a	0.721 
166.787	3.4	word	2	2	2.174 
170.189	1.7	confidence	1	n/a	1.171 
172.091	3.4	word	1	1	1.451 
175.493	1.7	confidence	4	n/a	0.715 
177.294	3.4	word	2	1	2.167 
180.697	1.7	confidence	3	n/a	0.804 
182.799	3.4	word	1	1	2.061 
186.2	1.7	confidence	1	n/a	0.645 
189.704	3.4	word	1	1	2.8 
193.106	1.7	confidence	3	n/a	0.583 
197.142	3.4	word	2	2	1.488 
200.511	1.7	confidence	3	n/a	0.911 
207.233	3.4	word	2	2	1.961 
210.635	1.7	confidence	2	n/a	1.164 
212.437	3.4	word	1	1	1.274 
215.839	1.7	confidence	3	n/a	0.568 
222.644	3.4	word	2	1	2.719 
226.046	1.7	confidence	2	n/a	0.514 
230.366	3.4	word	1	1	1.369 
233.769	1.7	confidence	4	n/a	0.679 
236.871	3.4	word	2	2	1.608 
240.272	1.7	confidence	3	n/a	0.855 
244.977	3.4	word	2	1	1.972 
248.379	1.7	confidence	2	n/a	1.193 
252.782	3.4	word	1	1	1.332 
256.184	1.7	confidence	2	n/a	0.877 
258.168	3.4	word	1	2	1.96 
261.572	1.7	confidence	1	n/a	0.587 
263.29	3.4	word	*	2	* 
266.692	1.7	confidence	*	n/a	* 
273.514	3.4	word	2	2	1.623 
276.916	1.7	confidence	4	n/a	0.579 
280.736	3.4	word	1	1	1.601 
284.138	1.7	confidence	3	n/a	0.518 
289.142	3.4	word	2	2	1.329 
292.544	1.7	confidence	3	n/a	0.367 
297.565	3.4	word	1	2	1.629 
300.967	1.7	confidence	2	n/a	0.381 
307.772	3.4	word	2	2	1.445 
311.174	1.7	confidence	3	n/a	0.604 
315.077	3.4	word	2	1	1.952 
318.48	1.7	confidence	1	n/a	0.81 
324.701	3.4	word	1	1	1.531 
328.103	1.7	confidence	3	n/a	0.375 
332.023	3.4	word	2	2	2.663 
335.425	1.7	confidence	2	n/a	0.588 
337.427	3.4	word	1	1	1.299 
340.812	1.7	confidence	4	n/a	0.619 
347.634	3.4	word	1	1	1.641 
351.037	1.7	confidence	2	n/a	0.68 
354.039	3.4	word	2	1	2.558 
357.441	1.7	confidence	1	n/a	0.598 
359.643	3.4	word	2	2	2.76 
363.045	1.7	confidence	1	n/a	0.662 
365.547	3.4	word	2	1	3.18 
368.949	1.7	confidence	2	n/a	1.153 
371.852	3.4	word	1	2	1.308 
375.254	1.7	confidence	3	n/a	0.54 
377.055	3.4	word	1	1	2.169 
380.457	1.7	confidence	2	n/a	0.551 
384.159	3.4	word	1	2	1.664 
387.563	1.7	confidence	3	n/a	0.305 
393.067	3.4	word	2	2	2.294 
396.469	1.7	confidence	2	n/a	0.632 
398.169	3.4	word	1	2	2.623 
401.573	1.7	confidence	3	n/a	0.839 
403.491	3.4	word	2	2	1.191 
406.893	1.7	confidence	2	n/a	0.53 
412.179	3.4	word	1	2	2.67 
415.583	1.7	confidence	1	n/a	0.628 
421.003	3.4	word	1	2	1.394 
424.406	1.7	confidence	1	n/a	0.638 
431.528	3.4	word	1	2	2.265 
434.93	1.7	confidence	2	n/a	0.37 
437.432	3.4	word	1	1	1.256 
440.834	1.7	confidence	4	n/a	0.517 
