onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.535	3.4	word	2	2	1.771
3.92	1.7	confidence	2	n/a	1.315
10.641	3.4	word	1	1	1.499
14.043	1.7	confidence	3	n/a	0.458
18.047	3.4	word	2	1	1.424
21.433	1.7	confidence	3	n/a	0.371
27.354	3.4	word	2	2	2.567
30.756	1.7	confidence	3	n/a	0.348
34.159	3.4	word	1	2	0.559
37.561	1.7	confidence	4	n/a	0.227
40.047	3.4	word	2	2	1.165
43.449	1.7	confidence	3	n/a	0.267
48.169	3.4	word	1	1	0.799
51.572	1.7	confidence	4	n/a	0.299
58.061	3.4	word	2	1	1.367
61.462	1.7	confidence	3	n/a	0.436
64.581	3.4	word	1	2	1.647
67.982	1.7	confidence	3	n/a	0.374
70.502	3.4	word	1	1	0.805
73.904	1.7	confidence	4	n/a	0.359
77.989	3.4	word	1	2	0.784
81.393	1.7	confidence	4	n/a	0.558
84.112	3.4	word	1	2	0.782
87.514	1.7	confidence	2	n/a	0.381
89.916	3.4	word	1	2	0.775
93.318	1.7	confidence	3	n/a	0.342
97.621	3.4	word	1	2	0.773
101.024	1.7	confidence	4	n/a	0.441
108.129	3.4	word	2	1	2.163
111.531	1.7	confidence	3	n/a	0.334
115.151	3.4	word	1	2	0.925
118.553	1.7	confidence	4	n/a	0.304
122.038	3.4	word	2	1	1.025
125.441	1.7	confidence	3	n/a	0.41
131.162	3.4	word	1	2	0.818
134.565	1.7	confidence	3	n/a	0.388
138.768	3.4	word	2	1	0.863
142.17	1.7	confidence	2	n/a	0.29
143.871	3.4	word	1	1	1.054
147.274	1.7	confidence	4	n/a	0.271
149.092	3.4	word	2	2	1.044
152.494	1.7	confidence	3	n/a	1.012
155.897	3.4	word	1	1	1.203
159.299	1.7	confidence	4	n/a	0.321
165.203	3.4	word	2	2	0.855
168.606	1.7	confidence	3	n/a	0.377
171.107	3.4	word	1	1	0.931
174.51	1.7	confidence	3	n/a	0.31
180.515	3.4	word	2	2	0.732
183.917	1.7	confidence	3	n/a	0.501
189.221	3.4	word	2	1	1.778
192.623	1.7	confidence	2	n/a	0.899
