onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
3.82	3.4	word	1	2	2.582
7.222	1.7	confidence	2	n/a	0.483
13.543	3.4	word	2	2	1.266
16.945	1.7	confidence	2	n/a	1.083
19.547	3.4	word	1	1	1.456
22.949	1.7	confidence	2	n/a	0.461
28.953	3.4	word	1	1	0.941
32.357	1.7	confidence	4	n/a	0.704
35.759	3.4	word	*	2	*
39.162	1.7	confidence	3	n/a	0.472
46.167	3.4	word	2	2	2.238
49.569	1.7	confidence	2	n/a	0.508
53.072	3.4	word	2	1	2.481
56.474	1.7	confidence	2	n/a	0.605
58.192	3.4	word	2	2	2.875
61.594	1.7	confidence	1	n/a	1.062
65.714	3.4	word	2	1	3.156
69.117	1.7	confidence	2	n/a	1.047
71.518	3.4	word	2	1	2.367
74.921	1.7	confidence	1	n/a	0.468
78.724	3.4	word	1	2	1.897
82.126	1.7	confidence	2	n/a	1.224
83.927	3.4	word	2	2	2.875
87.33	1.7	confidence	2	n/a	0.998
90.732	3.4	word	2	2	2.25
94.134	1.7	confidence	1	n/a	0.593
98.738	3.4	word	1	1	1.971
102.14	1.7	confidence	1	n/a	1.165
104.742	3.4	word	1	2	1.669
108.145	1.7	confidence	1	n/a	0.765
110.746	3.4	word	1	1	1.943
114.149	1.7	confidence	2	n/a	1.524
116.05	3.4	word	1	2	1.312
119.453	1.7	confidence	2	n/a	0.461
125.857	3.4	word	1	1	2.679
129.26	1.7	confidence	2	n/a	0.94
132.078	3.4	word	2	1	1.318
135.481	1.7	confidence	*	n/a	*
137.299	3.4	word	2	2	2.512
140.701	1.7	confidence	2	n/a	1.066
146.506	3.4	word	2	2	2.241
149.908	1.7	confidence	2	n/a	1.344
153.811	3.4	word	2	1	1.267
157.213	1.7	confidence	2	n/a	0.75
160.215	3.4	word	2	1	2.335
163.618	1.7	confidence	2	n/a	0.451
166.12	3.4	word	2	1	2.156
169.522	1.7	confidence	2	n/a	0.401
171.523	3.4	word	2	1	1.948
174.909	1.7	confidence	3	n/a	0.551
178.228	3.4	word	2	2	2.105
181.631	1.7	confidence	2	n/a	0.492
185.734	3.4	word	2	1	2.341
189.136	1.7	confidence	2	n/a	0.494
193.439	3.4	word	2	2	1.68
196.842	1.7	confidence	3	n/a	0.597
203.947	3.4	word	2	2	2.735
207.349	1.7	confidence	2	n/a	0.275
214.071	3.4	word	2	2	1.448
217.473	1.7	confidence	3	n/a	0.414
221.876	3.4	word	1	1	2.129
225.278	1.7	confidence	4	n/a	1.466
228.08	3.4	word	2	1	1.854
231.483	1.7	confidence	3	n/a	0.526
235.286	3.4	word	2	1	2.175
238.688	1.7	confidence	2	n/a	1.25
241.707	3.4	word	2	1	1.223
245.11	1.7	confidence	3	n/a	0.479
247.411	3.4	word	2	2	1.424
250.814	1.7	confidence	2	n/a	0.947
256.018	3.4	word	1	2	1.771
259.42	1.7	confidence	3	n/a	0.752
265.824	3.4	word	1	2	1.947
269.227	1.7	confidence	1	n/a	0.618
271.129	3.4	word	2	2	1.412
274.53	1.7	confidence	3	n/a	0.321
280.935	3.4	word	2	1	2.847
284.338	1.7	confidence	3	n/a	0.811
290.842	3.4	word	1	1	1.173
294.245	1.7	confidence	4	n/a	0.482
300.149	3.4	word	1	1	1.93
303.551	1.7	confidence	2	n/a	0.454
310.657	3.4	word	1	1	2.621
314.059	1.7	confidence	1	n/a	0.59
317.561	3.4	word	2	1	1.196
320.963	1.7	confidence	2	n/a	0.716
326.067	3.4	word	2	2	1.899
329.47	1.7	confidence	3	n/a	0.802
335.674	3.4	word	1	1	1.316
339.077	1.7	confidence	2	n/a	0.829
341.379	3.4	word	2	2	1.504
344.781	1.7	confidence	3	n/a	0.707
346.783	3.4	word	1	1	2.659
350.185	1.7	confidence	2	n/a	0.485
352.687	3.4	word	2	1	1.042
356.089	1.7	confidence	3	n/a	0.445
358.791	3.4	word	1	2	1.748
362.194	1.7	confidence	3	n/a	0.565
364.977	3.4	word	1	1	1.104
368.381	1.7	confidence	4	n/a	0.534
374.802	3.4	word	2	2	2.211
378.205	1.7	confidence	3	n/a	0.506
384.009	3.4	word	2	2	1.281
387.412	1.7	confidence	3	n/a	1.211
390.614	3.4	word	1	1	1.665
394.016	1.7	confidence	2	n/a	1.016
396.818	3.4	word	2	2	2.267
400.22	1.7	confidence	3	n/a	0.95
405.441	3.4	word	1	2	2.409
408.843	1.7	confidence	*	n/a	*
411.762	3.4	word	2	2	2.029
415.165	1.7	confidence	2	n/a	0.792
418.65	3.4	word	2	1	2.137
422.053	1.7	confidence	3	n/a	1.089
423.971	3.4	word	2	2	2.909
427.373	1.7	confidence	1	n/a	0.793
431.176	3.4	word	2	1	2.515
434.579	1.7	confidence	2	n/a	0.46
437.381	3.4	word	2	2	1.837
440.783	1.7	confidence	2	n/a	0.844
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
3.82	3.4	word	1	2	2.582
7.222	1.7	confidence	2	n/a	0.483
13.543	3.4	word	2	2	1.266
16.945	1.7	confidence	2	n/a	1.083
19.547	3.4	word	1	1	1.456
22.949	1.7	confidence	2	n/a	0.461
28.953	3.4	word	1	1	0.941
32.357	1.7	confidence	4	n/a	0.704
35.759	3.4	word	*	2	*
39.162	1.7	confidence	3	n/a	0.472
46.167	3.4	word	2	2	2.238
49.569	1.7	confidence	2	n/a	0.508
53.072	3.4	word	2	1	2.481
56.474	1.7	confidence	2	n/a	0.605
58.192	3.4	word	2	2	2.875
61.594	1.7	confidence	1	n/a	1.062
65.714	3.4	word	2	1	3.156
69.117	1.7	confidence	2	n/a	1.047
71.518	3.4	word	2	1	2.367
74.921	1.7	confidence	1	n/a	0.468
78.724	3.4	word	1	2	1.897
82.126	1.7	confidence	2	n/a	1.224
83.927	3.4	word	2	2	2.875
87.33	1.7	confidence	2	n/a	0.998
90.732	3.4	word	2	2	2.25
94.134	1.7	confidence	1	n/a	0.593
98.738	3.4	word	1	1	1.971
102.14	1.7	confidence	1	n/a	1.165
104.742	3.4	word	1	2	1.669
108.145	1.7	confidence	1	n/a	0.765
110.746	3.4	word	1	1	1.943
114.149	1.7	confidence	2	n/a	1.524
116.05	3.4	word	1	2	1.312
119.453	1.7	confidence	2	n/a	0.461
125.857	3.4	word	1	1	2.679
129.26	1.7	confidence	2	n/a	0.94
132.078	3.4	word	2	1	1.318
135.481	1.7	confidence	*	n/a	*
137.299	3.4	word	2	2	2.512
140.701	1.7	confidence	2	n/a	1.066
146.506	3.4	word	2	2	2.241
149.908	1.7	confidence	2	n/a	1.344
153.811	3.4	word	2	1	1.267
157.213	1.7	confidence	2	n/a	0.75
160.215	3.4	word	2	1	2.335
163.618	1.7	confidence	2	n/a	0.451
166.12	3.4	word	2	1	2.156
169.522	1.7	confidence	2	n/a	0.401
171.523	3.4	word	2	1	1.948
174.909	1.7	confidence	3	n/a	0.551
178.228	3.4	word	2	2	2.105
181.631	1.7	confidence	2	n/a	0.492
185.734	3.4	word	2	1	2.341
189.136	1.7	confidence	2	n/a	0.494
193.439	3.4	word	2	2	1.68
196.842	1.7	confidence	3	n/a	0.597
203.947	3.4	word	2	2	2.735
207.349	1.7	confidence	2	n/a	0.275
214.071	3.4	word	2	2	1.448
217.473	1.7	confidence	3	n/a	0.414
221.876	3.4	word	1	1	2.129
225.278	1.7	confidence	4	n/a	1.466
228.08	3.4	word	2	1	1.854
231.483	1.7	confidence	3	n/a	0.526
235.286	3.4	word	2	1	2.175
238.688	1.7	confidence	2	n/a	1.25
241.707	3.4	word	2	1	1.223
245.11	1.7	confidence	3	n/a	0.479
247.411	3.4	word	2	2	1.424
250.814	1.7	confidence	2	n/a	0.947
256.018	3.4	word	1	2	1.771
259.42	1.7	confidence	3	n/a	0.752
265.824	3.4	word	1	2	1.947
269.227	1.7	confidence	1	n/a	0.618
271.129	3.4	word	2	2	1.412
274.53	1.7	confidence	3	n/a	0.321
280.935	3.4	word	2	1	2.847
284.338	1.7	confidence	3	n/a	0.811
290.842	3.4	word	1	1	1.173
294.245	1.7	confidence	4	n/a	0.482
300.149	3.4	word	1	1	1.93
303.551	1.7	confidence	2	n/a	0.454
310.657	3.4	word	1	1	2.621
314.059	1.7	confidence	1	n/a	0.59
317.561	3.4	word	2	1	1.196
320.963	1.7	confidence	2	n/a	0.716
326.067	3.4	word	2	2	1.899
329.47	1.7	confidence	3	n/a	0.802
335.674	3.4	word	1	1	1.316
339.077	1.7	confidence	2	n/a	0.829
341.379	3.4	word	2	2	1.504
344.781	1.7	confidence	3	n/a	0.707
346.783	3.4	word	1	1	2.659
350.185	1.7	confidence	2	n/a	0.485
352.687	3.4	word	2	1	1.042
356.089	1.7	confidence	3	n/a	0.445
358.791	3.4	word	1	2	1.748
362.194	1.7	confidence	3	n/a	0.565
364.977	3.4	word	1	1	1.104
368.381	1.7	confidence	4	n/a	0.534
374.802	3.4	word	2	2	2.211
378.205	1.7	confidence	3	n/a	0.506
384.009	3.4	word	2	2	1.281
387.412	1.7	confidence	3	n/a	1.211
390.614	3.4	word	1	1	1.665
394.016	1.7	confidence	2	n/a	1.016
396.818	3.4	word	2	2	2.267
400.22	1.7	confidence	3	n/a	0.95
405.441	3.4	word	1	2	2.409
408.843	1.7	confidence	*	n/a	*
411.762	3.4	word	2	2	2.029
415.165	1.7	confidence	2	n/a	0.792
418.65	3.4	word	2	1	2.137
422.053	1.7	confidence	3	n/a	1.089
423.971	3.4	word	2	2	2.909
427.373	1.7	confidence	1	n/a	0.793
431.176	3.4	word	2	1	2.515
434.579	1.7	confidence	2	n/a	0.46
437.381	3.4	word	2	2	1.837
440.783	1.7	confidence	2	n/a	0.844
