onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
4.636	3.4	word	1	2	1.199
8.022	1.7	confidence	*	n/a	*
14.744	3.4	word	2	2	1.539
18.13	1.7	confidence	2	n/a	0.558
20.531	3.4	word	2	2	1.288
23.934	1.7	confidence	3	n/a	0.495
26.436	3.4	word	1	1	1.408
29.838	1.7	confidence	3	n/a	0.484
33.441	3.4	word	1	2	2.165
36.843	1.7	confidence	3	n/a	1.092
38.645	3.4	word	1	1	1.514
42.047	1.7	confidence	4	n/a	0.366
44.449	3.4	word	1	2	1.509
47.852	1.7	confidence	3	n/a	0.907
50.554	3.4	word	2	2	1.597
53.956	1.7	confidence	3	n/a	0.612
59.86	3.4	word	2	2	1.412
63.263	1.7	confidence	2	n/a	0.936
67.182	3.4	word	1	1	2.23
70.585	1.7	confidence	2	n/a	0.748
73.687	3.4	word	1	2	1.761
77.089	1.7	confidence	3	n/a	0.571
83.794	3.4	word	1	1	1.201
87.197	1.7	confidence	4	n/a	0.353
91.9	3.4	word	1	1	2.348
95.302	1.7	confidence	2	n/a	0.344
100.623	3.4	word	2	1	2.099
104.025	1.7	confidence	2	n/a	0.575
108.228	3.4	word	1	1	1.607
111.631	1.7	confidence	3	n/a	0.347
113.832	3.4	word	2	2	1.916
117.235	1.7	confidence	1	n/a	0.289
122.439	3.4	word	2	2	1.666
125.841	1.7	confidence	3	n/a	0.35
129.244	3.4	word	1	1	1.174
132.646	1.7	confidence	4	n/a	0.391
134.748	3.4	word	1	2	1.131
138.15	1.7	confidence	4	n/a	0.354
142.253	3.4	word	1	2	1.88
145.655	1.7	confidence	2	n/a	0.281
150.359	3.4	word	2	2	1.295
153.761	1.7	confidence	2	n/a	0.39
156.263	3.4	word	1	2	1.347
159.665	1.7	confidence	3	n/a	0.432
161.867	3.4	word	1	2	2.311
165.27	1.7	confidence	3	n/a	1.001
168.088	3.4	word	1	1	1.561
171.491	1.7	confidence	3	n/a	0.436
173.292	3.4	word	2	2	1.464
176.694	1.7	confidence	3	n/a	1.012
183.8	3.4	word	1	1	1.486
187.202	1.7	confidence	4	n/a	0.398
192.989	3.4	word	2	1	1.275
196.392	1.7	confidence	3	n/a	1.072
200.211	3.4	word	1	1	1.732
203.614	1.7	confidence	4	n/a	0.321
209.418	3.4	word	1	1	1.472
212.821	1.7	confidence	3	n/a	0.589
217.024	3.4	word	2	2	1.919
220.426	1.7	confidence	1	n/a	0.436
222.927	3.4	word	1	1	1.06
226.33	1.7	confidence	4	n/a	0.292
230.35	3.4	word	1	1	1.332
233.752	1.7	confidence	4	n/a	0.354
240.658	3.4	word	1	1	1.149
244.06	1.7	confidence	3	n/a	0.424
247.062	3.4	word	1	2	1.749
250.448	1.7	confidence	2	n/a	0.375
253.867	3.4	word	2	2	1.159
257.269	1.7	confidence	2	n/a	0.355
262.29	3.4	word	2	2	1.608
265.692	1.7	confidence	3	n/a	0.415
268.094	3.4	word	2	2	1.277
271.496	1.7	confidence	3	n/a	0.417
273.514	3.4	word	1	2	1.101
276.916	1.7	confidence	2	n/a	0.296
281.22	3.4	word	2	2	3.064
284.622	1.7	confidence	2	n/a	0.968
290.743	3.4	word	1	1	1.231
294.146	1.7	confidence	4	n/a	0.317
298.649	3.4	word	1	1	1.086
302.052	1.7	confidence	4	n/a	0.279
305.654	3.4	word	1	1	1.346
309.057	1.7	confidence	2	n/a	0.516
314.761	3.4	word	2	2	1.306
318.163	1.7	confidence	3	n/a	0.323
323.067	3.4	word	1	1	0.974
326.453	1.7	confidence	3	n/a	0.297
331.172	3.4	word	1	1	0.86
334.575	1.7	confidence	4	n/a	0.26
337.877	3.4	word	1	1	1.451
341.28	1.7	confidence	2	n/a	0.322
343.098	3.4	word	1	1	1.679
346.5	1.7	confidence	2	n/a	0.31
350.003	3.4	word	1	1	0.858
353.406	1.7	confidence	4	n/a	0.415
