onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
2.519	3.4	word	2	2	1.145
5.921	1.7	confidence	1	n/a	0.225
9.84	3.4	word	1	1	0.954
13.243	1.7	confidence	3	n/a	0.262
17.146	3.4	word	1	2	1.229
20.548	1.7	confidence	2	n/a	0.505
22.35	3.4	word	1	2	1.394
25.752	1.7	confidence	3	n/a	0.265
31.456	3.4	word	2	1	1.596
34.859	1.7	confidence	1	n/a	0.325
38.661	3.4	word	2	1	1.675
42.064	1.7	confidence	2	n/a	0.516
45.951	3.4	word	1	1	1.269
49.353	1.7	confidence	3	n/a	0.401
56.057	3.4	word	2	1	1.778
59.46	1.7	confidence	1	n/a	0.325
63.78	3.4	word	1	2	0.984
67.182	1.7	confidence	1	n/a	0.721
72.068	3.4	word	1	1	3.124
75.471	1.7	confidence	3	n/a	0.547
78.89	3.4	word	1	2	1.532
82.293	1.7	confidence	2	n/a	0.408
87.613	3.4	word	1	2	1.33
91.016	1.7	confidence	1	n/a	1.631
94.118	3.4	word	1	2	1.169
97.52	1.7	confidence	1	n/a	0.303
103.725	3.4	word	1	1	1.145
107.127	1.7	confidence	3	n/a	0.247
112.013	3.4	word	2	2	1.519
115.417	1.7	confidence	2	n/a	1.095
120.537	3.4	word	1	1	1.854
123.939	1.7	confidence	3	n/a	0.405
126.641	3.4	word	2	2	1.301
130.043	1.7	confidence	1	n/a	0.348
137.049	3.4	word	1	1	1.746
140.451	1.7	confidence	1	n/a	0.45
145.655	3.4	word	1	1	1.737
149.057	1.7	confidence	1	n/a	0.318
152.16	3.4	word	1	1	1.188
155.562	1.7	confidence	4	n/a	0.262
158.364	3.4	word	1	2	2.407
161.766	1.7	confidence	2	n/a	1.148
163.468	3.4	word	1	1	1.358
166.87	1.7	confidence	1	n/a	0.221
168.788	3.4	word	2	2	1.326
172.191	1.7	confidence	3	n/a	0.805
177.594	3.4	word	2	2	1.413
180.997	1.7	confidence	4	n/a	0.438
187.201	3.4	word	2	2	1.946
190.604	1.7	confidence	1	n/a	0.343
194.306	3.4	word	1	1	1.148
197.709	1.7	confidence	4	n/a	0.277
203.513	3.4	word	1	1	0.861
206.915	1.7	confidence	4	n/a	0.281
210.818	3.4	word	1	1	1.378
214.221	1.7	confidence	2	n/a	0.392
218.124	3.4	word	1	1	0.921
221.526	1.7	confidence	4	n/a	0.262
223.728	3.4	word	2	2	1.445
227.13	1.7	confidence	2	n/a	0.295
231.834	3.4	word	1	2	1.719
235.236	1.7	confidence	4	n/a	0.386
239.839	3.4	word	1	1	1.583
243.242	1.7	confidence	1	n/a	0.915
244.943	3.4	word	1	1	1.277
248.345	1.7	confidence	4	n/a	0.362
250.563	3.4	word	1	1	0.798
253.965	1.7	confidence	2	n/a	0.588
255.667	3.4	word	1	1	1.212
259.07	1.7	confidence	4	n/a	0.288
263.289	3.4	word	1	2	1.337
266.692	1.7	confidence	1	n/a	0.266
268.493	3.4	word	*	1	*
271.896	1.7	confidence	1	n/a	0.465
279.0	3.4	word	2	1	1.193
282.403	1.7	confidence	2	n/a	0.892
285.422	3.4	word	1	2	1.226
288.824	1.7	confidence	3	n/a	0.304
291.026	3.4	word	2	2	1.698
294.428	1.7	confidence	1	n/a	0.331
300.015	3.4	word	1	2	1.412
303.418	1.7	confidence	2	n/a	0.523
306.637	3.4	word	1	1	1.482
310.039	1.7	confidence	1	n/a	0.306
312.024	3.4	word	1	2	2.137
315.426	1.7	confidence	2	n/a	0.503
322.031	3.4	word	*	2	*
325.434	1.7	confidence	3	n/a	0.927
328.553	3.4	word	2	2	1.554
331.954	1.7	confidence	2	n/a	0.371
336.258	3.4	word	1	2	1.372
339.661	1.7	confidence	1	n/a	0.293
343.764	3.4	word	1	1	1.002
347.166	1.7	confidence	3	n/a	0.241
350.168	3.4	word	2	2	1.532
353.571	1.7	confidence	1	n/a	1.616
357.273	3.4	word	1	1	1.145
360.676	1.7	confidence	3	n/a	0.276
364.679	3.4	word	2	2	2.059
368.081	1.7	confidence	1	n/a	0.247
370.683	3.4	word	2	1	1.479
374.086	1.7	confidence	2	n/a	0.425
376.988	3.4	word	2	1	1.954
380.39	1.7	confidence	1	n/a	0.323
383.109	3.4	word	1	2	1.611
386.511	1.7	confidence	3	n/a	0.212
392.215	3.4	word	1	2	1.85
395.618	1.7	confidence	2	n/a	0.823
400.921	3.4	word	2	1	2.459
404.324	1.7	confidence	2	n/a	1.546
407.342	3.4	word	1	2	1.096
410.745	1.7	confidence	2	n/a	0.485
417.751	3.4	word	1	2	1.485
421.153	1.7	confidence	3	n/a	0.726
423.254	3.4	word	2	2	1.608
426.657	1.7	confidence	3	n/a	0.227
428.658	3.4	word	2	1	1.522
432.06	1.7	confidence	1	n/a	0.304
437.364	3.4	word	1	1	1.828
440.767	1.7	confidence	2	n/a	0.298
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
2.519	3.4	word	2	2	1.145
5.921	1.7	confidence	1	n/a	0.225
9.84	3.4	word	1	1	0.954
13.243	1.7	confidence	3	n/a	0.262
17.146	3.4	word	1	2	1.229
20.548	1.7	confidence	2	n/a	0.505
22.35	3.4	word	1	2	1.394
25.752	1.7	confidence	3	n/a	0.265
31.456	3.4	word	2	1	1.596
34.859	1.7	confidence	1	n/a	0.325
38.661	3.4	word	2	1	1.675
42.064	1.7	confidence	2	n/a	0.516
45.951	3.4	word	1	1	1.269
49.353	1.7	confidence	3	n/a	0.401
56.057	3.4	word	2	1	1.778
59.46	1.7	confidence	1	n/a	0.325
63.78	3.4	word	1	2	0.984
67.182	1.7	confidence	1	n/a	0.721
72.068	3.4	word	1	1	3.124
75.471	1.7	confidence	3	n/a	0.547
78.89	3.4	word	1	2	1.532
82.293	1.7	confidence	2	n/a	0.408
87.613	3.4	word	1	2	1.33
91.016	1.7	confidence	1	n/a	1.631
94.118	3.4	word	1	2	1.169
97.52	1.7	confidence	1	n/a	0.303
103.725	3.4	word	1	1	1.145
107.127	1.7	confidence	3	n/a	0.247
112.013	3.4	word	2	2	1.519
115.417	1.7	confidence	2	n/a	1.095
120.537	3.4	word	1	1	1.854
123.939	1.7	confidence	3	n/a	0.405
126.641	3.4	word	2	2	1.301
130.043	1.7	confidence	1	n/a	0.348
137.049	3.4	word	1	1	1.746
140.451	1.7	confidence	1	n/a	0.45
145.655	3.4	word	1	1	1.737
149.057	1.7	confidence	1	n/a	0.318
152.16	3.4	word	1	1	1.188
155.562	1.7	confidence	4	n/a	0.262
158.364	3.4	word	1	2	2.407
161.766	1.7	confidence	2	n/a	1.148
163.468	3.4	word	1	1	1.358
166.87	1.7	confidence	1	n/a	0.221
168.788	3.4	word	2	2	1.326
172.191	1.7	confidence	3	n/a	0.805
177.594	3.4	word	2	2	1.413
180.997	1.7	confidence	4	n/a	0.438
187.201	3.4	word	2	2	1.946
190.604	1.7	confidence	1	n/a	0.343
194.306	3.4	word	1	1	1.148
197.709	1.7	confidence	4	n/a	0.277
203.513	3.4	word	1	1	0.861
206.915	1.7	confidence	4	n/a	0.281
210.818	3.4	word	1	1	1.378
214.221	1.7	confidence	2	n/a	0.392
218.124	3.4	word	1	1	0.921
221.526	1.7	confidence	4	n/a	0.262
223.728	3.4	word	2	2	1.445
227.13	1.7	confidence	2	n/a	0.295
231.834	3.4	word	1	2	1.719
235.236	1.7	confidence	4	n/a	0.386
239.839	3.4	word	1	1	1.583
243.242	1.7	confidence	1	n/a	0.915
244.943	3.4	word	1	1	1.277
248.345	1.7	confidence	4	n/a	0.362
250.563	3.4	word	1	1	0.798
253.965	1.7	confidence	2	n/a	0.588
255.667	3.4	word	1	1	1.212
259.07	1.7	confidence	4	n/a	0.288
263.289	3.4	word	1	2	1.337
266.692	1.7	confidence	1	n/a	0.266
268.493	3.4	word	*	1	*
271.896	1.7	confidence	1	n/a	0.465
279.0	3.4	word	2	1	1.193
282.403	1.7	confidence	2	n/a	0.892
285.422	3.4	word	1	2	1.226
288.824	1.7	confidence	3	n/a	0.304
291.026	3.4	word	2	2	1.698
294.428	1.7	confidence	1	n/a	0.331
300.015	3.4	word	1	2	1.412
303.418	1.7	confidence	2	n/a	0.523
306.637	3.4	word	1	1	1.482
310.039	1.7	confidence	1	n/a	0.306
312.024	3.4	word	1	2	2.137
315.426	1.7	confidence	2	n/a	0.503
322.031	3.4	word	*	2	*
325.434	1.7	confidence	3	n/a	0.927
328.553	3.4	word	2	2	1.554
331.954	1.7	confidence	2	n/a	0.371
336.258	3.4	word	1	2	1.372
339.661	1.7	confidence	1	n/a	0.293
343.764	3.4	word	1	1	1.002
347.166	1.7	confidence	3	n/a	0.241
350.168	3.4	word	2	2	1.532
353.571	1.7	confidence	1	n/a	1.616
357.273	3.4	word	1	1	1.145
360.676	1.7	confidence	3	n/a	0.276
364.679	3.4	word	2	2	2.059
368.081	1.7	confidence	1	n/a	0.247
370.683	3.4	word	2	1	1.479
374.086	1.7	confidence	2	n/a	0.425
376.988	3.4	word	2	1	1.954
380.39	1.7	confidence	1	n/a	0.323
383.109	3.4	word	1	2	1.611
386.511	1.7	confidence	3	n/a	0.212
392.215	3.4	word	1	2	1.85
395.618	1.7	confidence	2	n/a	0.823
400.921	3.4	word	2	1	2.459
404.324	1.7	confidence	2	n/a	1.546
407.342	3.4	word	1	2	1.096
410.745	1.7	confidence	2	n/a	0.485
417.751	3.4	word	1	2	1.485
421.153	1.7	confidence	3	n/a	0.726
423.254	3.4	word	2	2	1.608
426.657	1.7	confidence	3	n/a	0.227
428.658	3.4	word	2	1	1.522
432.06	1.7	confidence	1	n/a	0.304
437.364	3.4	word	1	1	1.828
440.767	1.7	confidence	2	n/a	0.298
