onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
4.137	3.4	word	1	1	3.287
7.523	1.7	confidence	*	n/a	*
11.641	3.4	word	1	2	1.793
15.028	1.7	confidence	4	n/a	1.258
20.348	3.4	word	1	1	2.111
23.751	1.7	confidence	2	n/a	1.086
28.354	3.4	word	1	1	2.898
31.757	1.7	confidence	3	n/a	0.745
35.777	3.4	word	1	1	1.129
39.179	1.7	confidence	4	n/a	0.612
42.281	3.4	word	2	2	2.923
45.683	1.7	confidence	2	n/a	1.385
47.485	3.4	word	1	2	3.294
50.888	1.7	confidence	4	n/a	1.029
56.791	3.4	word	1	2	3.116
60.194	1.7	confidence	3	n/a	0.589
65.998	3.4	word	2	1	2.989
69.401	1.7	confidence	3	n/a	1.396
71.102	3.4	word	*	1	*
74.505	1.7	confidence	*	n/a	*
76.322	3.4	word	1	1	2.312
79.725	1.7	confidence	1	n/a	1.614
82.227	3.4	word	2	2	3.019
85.628	1.7	confidence	2	n/a	0.582
88.131	3.4	word	2	1	2.384
91.533	1.7	confidence	3	n/a	1.111
96.036	3.4	word	1	1	2.51
99.439	1.7	confidence	3	n/a	0.591
101.841	3.4	word	1	2	2.776
105.243	1.7	confidence	*	n/a	*
110.447	3.4	word	2	2	3.163
113.85	1.7	confidence	3	n/a	0.668
120.754	3.4	word	1	1	2.47
124.157	1.7	confidence	3	n/a	1.358
126.258	3.4	word	2	2	2.998
129.66	1.7	confidence	2	n/a	0.533
133.163	3.4	word	1	1	2.878
136.566	1.7	confidence	2	n/a	0.633
138.767	3.4	word	2	2	2.4
142.17	1.7	confidence	*	n/a	*
147.874	3.4	word	2	2	3.266
151.276	1.7	confidence	1	n/a	1.282
154.679	3.4	word	2	2	3.148
158.081	1.7	confidence	1	n/a	0.508
164.786	3.4	word	1	2	3.129
168.189	1.7	confidence	2	n/a	0.801
174.493	3.4	word	2	2	3.282
177.895	1.7	confidence	2	n/a	0.871
179.68	3.4	word	1	1	2.544
183.083	1.7	confidence	3	n/a	1.5
188.003	3.4	word	1	1	2.643
191.405	1.7	confidence	3	n/a	0.706
193.607	3.4	word	2	2	3.336
197.009	1.7	confidence	2	n/a	0.799
203.114	3.4	word	1	1	2.369
206.516	1.7	confidence	2	n/a	0.621
210.319	3.4	word	*	1	*
213.721	1.7	confidence	2	n/a	1.555
216.523	3.4	word	2	1	2.88
219.926	1.7	confidence	1	n/a	0.241
223.028	3.4	word	2	2	2.017
226.43	1.7	confidence	3	n/a	0.454
228.131	3.4	word	2	2	3.289
231.534	1.7	confidence	3	n/a	0.779
238.256	3.4	word	1	1	2.509
241.657	1.7	confidence	2	n/a	0.428
245.861	3.4	word	2	1	3.3
249.264	1.7	confidence	1	n/a	1.194
252.683	3.4	word	2	1	3.113
256.085	1.7	confidence	3	n/a	0.938
261.989	3.4	word	1	2	2.185
265.392	1.7	confidence	*	n/a	*
269.294	3.4	word	2	1	1.944
272.697	1.7	confidence	*	n/a	*
275.099	3.4	word	1	2	1.582
278.501	1.7	confidence	4	n/a	0.455
283.205	3.4	word	1	1	1.309
286.607	1.7	confidence	4	n/a	0.536
289.909	3.4	word	1	1	1.052
293.312	1.7	confidence	4	n/a	0.481
296.414	3.4	word	1	2	2.865
299.817	1.7	confidence	2	n/a	0.622
306.938	3.4	word	1	1	2.367
310.34	1.7	confidence	2	n/a	0.433
312.359	3.4	word	*	2	*
315.761	1.7	confidence	3	n/a	0.301
320.765	3.4	word	*	2	*
324.167	1.7	confidence	*	n/a	*
327.17	3.4	word	1	2	2.153
330.572	1.7	confidence	1	n/a	0.33
336.576	3.4	word	1	2	1.928
339.979	1.7	confidence	2	n/a	0.285
344.199	3.4	word	1	2	2.539
347.601	1.7	confidence	2	n/a	0.338
354.105	3.4	word	1	1	2.626
357.508	1.7	confidence	3	n/a	0.386
361.111	3.4	word	2	1	2.874
364.513	1.7	confidence	2	n/a	0.787
366.214	3.4	word	2	1	2.623
369.617	1.7	confidence	1	n/a	1.303
372.035	3.4	word	2	2	2.595
375.438	1.7	confidence	2	n/a	0.776
377.939	3.4	word	1	1	1.535
381.342	1.7	confidence	3	n/a	1.088
384.644	3.4	word	1	2	2.629
388.047	1.7	confidence	3	n/a	0.599
390.465	3.4	word	1	1	2.644
393.868	1.7	confidence	*	n/a	*
397.47	3.4	word	1	2	1.142
400.872	1.7	confidence	3	n/a	0.087
405.593	3.4	word	2	2	2.732
408.995	1.7	confidence	2	n/a	0.788
411.679	3.4	word	2	2	2.661
415.083	1.7	confidence	2	n/a	0.889
421.604	3.4	word	*	1	*
425.006	1.7	confidence	3	n/a	0.65
429.326	3.4	word	2	2	2.912
432.729	1.7	confidence	1	n/a	1.078
437.432	3.4	word	1	1	3.289
440.835	1.7	confidence	*	n/a	*
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
4.137	3.4	word	1	1	3.287
7.523	1.7	confidence	*	n/a	*
11.641	3.4	word	1	2	1.793
15.028	1.7	confidence	4	n/a	1.258
20.348	3.4	word	1	1	2.111
23.751	1.7	confidence	2	n/a	1.086
28.354	3.4	word	1	1	2.898
31.757	1.7	confidence	3	n/a	0.745
35.777	3.4	word	1	1	1.129
39.179	1.7	confidence	4	n/a	0.612
42.281	3.4	word	2	2	2.923
45.683	1.7	confidence	2	n/a	1.385
47.485	3.4	word	1	2	3.294
50.888	1.7	confidence	4	n/a	1.029
56.791	3.4	word	1	2	3.116
60.194	1.7	confidence	3	n/a	0.589
65.998	3.4	word	2	1	2.989
69.401	1.7	confidence	3	n/a	1.396
71.102	3.4	word	*	1	*
74.505	1.7	confidence	*	n/a	*
76.322	3.4	word	1	1	2.312
79.725	1.7	confidence	1	n/a	1.614
82.227	3.4	word	2	2	3.019
85.628	1.7	confidence	2	n/a	0.582
88.131	3.4	word	2	1	2.384
91.533	1.7	confidence	3	n/a	1.111
96.036	3.4	word	1	1	2.51
99.439	1.7	confidence	3	n/a	0.591
101.841	3.4	word	1	2	2.776
105.243	1.7	confidence	*	n/a	*
110.447	3.4	word	2	2	3.163
113.85	1.7	confidence	3	n/a	0.668
120.754	3.4	word	1	1	2.47
124.157	1.7	confidence	3	n/a	1.358
126.258	3.4	word	2	2	2.998
129.66	1.7	confidence	2	n/a	0.533
133.163	3.4	word	1	1	2.878
136.566	1.7	confidence	2	n/a	0.633
138.767	3.4	word	2	2	2.4
142.17	1.7	confidence	*	n/a	*
147.874	3.4	word	2	2	3.266
151.276	1.7	confidence	1	n/a	1.282
154.679	3.4	word	2	2	3.148
158.081	1.7	confidence	1	n/a	0.508
164.786	3.4	word	1	2	3.129
168.189	1.7	confidence	2	n/a	0.801
174.493	3.4	word	2	2	3.282
177.895	1.7	confidence	2	n/a	0.871
179.68	3.4	word	1	1	2.544
183.083	1.7	confidence	3	n/a	1.5
188.003	3.4	word	1	1	2.643
191.405	1.7	confidence	3	n/a	0.706
193.607	3.4	word	2	2	3.336
197.009	1.7	confidence	2	n/a	0.799
203.114	3.4	word	1	1	2.369
206.516	1.7	confidence	2	n/a	0.621
210.319	3.4	word	*	1	*
213.721	1.7	confidence	2	n/a	1.555
216.523	3.4	word	2	1	2.88
219.926	1.7	confidence	1	n/a	0.241
223.028	3.4	word	2	2	2.017
226.43	1.7	confidence	3	n/a	0.454
228.131	3.4	word	2	2	3.289
231.534	1.7	confidence	3	n/a	0.779
238.256	3.4	word	1	1	2.509
241.657	1.7	confidence	2	n/a	0.428
245.861	3.4	word	2	1	3.3
249.264	1.7	confidence	1	n/a	1.194
252.683	3.4	word	2	1	3.113
256.085	1.7	confidence	3	n/a	0.938
261.989	3.4	word	1	2	2.185
265.392	1.7	confidence	*	n/a	*
269.294	3.4	word	2	1	1.944
