onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.817	3.4	word	1	1	1.327
4.22	1.7	confidence	3	n/a	0.332
10.425	3.4	word	1	1	1.186
13.827	1.7	confidence	1	n/a	0.328
15.529	3.4	word	2	2	1.104
18.93	1.7	confidence	3	n/a	0.466
21.849	3.4	word	1	1	1.334
25.252	1.7	confidence	3	n/a	0.329
27.053	3.4	word	1	1	1.341
30.455	1.7	confidence	4	n/a	0.267
37.26	3.4	word	2	1	1.551
40.663	1.7	confidence	2	n/a	0.862
45.366	3.4	word	1	1	0.812
48.768	1.7	confidence	4	n/a	0.294
50.97	3.4	word	2	2	1.38
54.373	1.7	confidence	1	n/a	0.376
58.575	3.4	word	1	1	1.507
61.978	1.7	confidence	4	n/a	0.374
65.998	3.4	word	2	2	1.239
69.4	1.7	confidence	2	n/a	0.368
72.402	3.4	word	1	1	1.146
75.805	1.7	confidence	4	n/a	0.333
79.69	3.4	word	1	2	1.534
83.093	1.7	confidence	3	n/a	0.339
87.513	3.4	word	1	1	1.357
90.915	1.7	confidence	4	n/a	0.278
93.217	3.4	word	2	1	1.709
96.603	1.7	confidence	1	n/a	0.25
101.323	3.4	word	1	2	1.26
104.726	1.7	confidence	1	n/a	0.297
107.227	3.4	word	1	1	1.099
110.63	1.7	confidence	2	n/a	0.278
112.431	3.4	word	1	1	1.632
115.833	1.7	confidence	4	n/a	0.27
122.639	3.4	word	2	2	1.17
126.041	1.7	confidence	4	n/a	0.306
128.159	3.4	word	1	1	0.893
131.562	1.7	confidence	4	n/a	0.25
133.763	3.4	word	2	2	1.304
137.149	1.7	confidence	2	n/a	0.283
143.97	3.4	word	2	2	1.574
147.373	1.7	confidence	2	n/a	0.808
153.478	3.4	word	2	1	1.306
156.88	1.7	confidence	3	n/a	0.545
162.284	3.4	word	2	2	1.668
165.685	1.7	confidence	4	n/a	0.255
167.487	3.4	word	1	1	1.336
170.89	1.7	confidence	4	n/a	0.312
175.893	3.4	word	2	2	1.533
179.296	1.7	confidence	3	n/a	0.427
184.799	3.4	word	1	2	2.506
188.202	1.7	confidence	1	n/a	0.297
194.406	3.4	word	1	1	1.345
197.809	1.7	confidence	4	n/a	0.285
199.911	3.4	word	1	1	0.981
203.313	1.7	confidence	4	n/a	0.248
210.418	3.4	word	2	2	2.133
213.821	1.7	confidence	1	n/a	0.342
220.858	3.4	word	1	2	1.84
224.228	1.7	confidence	2	n/a	0.316
225.929	3.4	word	1	2	0.974
229.332	1.7	confidence	4	n/a	0.28
234.652	3.4	word	1	2	1.679
238.055	1.7	confidence	1	n/a	0.323
239.973	3.4	word	1	1	0.753
243.375	1.7	confidence	4	n/a	0.303
246.878	3.4	word	2	1	1.214
250.28	1.7	confidence	1	n/a	0.321
253.983	3.4	word	2	2	1.29
257.385	1.7	confidence	3	n/a	0.292
261.288	3.4	word	1	1	0.946
264.691	1.7	confidence	3	n/a	0.293
271.395	3.4	word	1	2	1.158
274.798	1.7	confidence	1	n/a	0.272
279.101	3.4	word	1	1	2.379
282.504	1.7	confidence	4	n/a	0.443
287.69	3.4	word	1	1	0.888
291.093	1.7	confidence	4	n/a	0.308
297.514	3.4	word	1	2	0.781
300.917	1.7	confidence	4	n/a	0.403
304.819	3.4	word	2	2	1.419
308.222	1.7	confidence	1	n/a	0.339
312.225	3.4	word	2	2	1.675
315.626	1.7	confidence	4	n/a	0.469
318.429	3.4	word	1	1	1.114
321.832	1.7	confidence	3	n/a	0.261
328.036	3.4	word	1	2	1.109
331.439	1.7	confidence	4	n/a	0.257
335.141	3.4	word	1	2	1.999
338.544	1.7	confidence	1	n/a	0.282
343.731	3.4	word	1	1	1.084
347.133	1.7	confidence	2	n/a	0.314
350.052	3.4	word	2	2	1.807
353.455	1.7	confidence	2	n/a	0.295
355.456	3.4	word	2	2	1.335
358.858	1.7	confidence	2	n/a	0.274
361.26	3.4	word	1	2	1.886
364.663	1.7	confidence	3	n/a	0.325
368.466	3.4	word	1	1	1.741
371.868	1.7	confidence	2	n/a	0.463
373.769	3.4	word	1	2	1.081
377.155	1.7	confidence	1	n/a	0.318
381.475	3.4	word	1	2	2.011
384.877	1.7	confidence	3	n/a	0.28
391.665	3.4	word	1	1	1.557
395.068	1.7	confidence	3	n/a	0.422
397.086	3.4	word	1	1	0.954
400.488	1.7	confidence	4	n/a	1.565
403.591	3.4	word	2	2	1.426
406.993	1.7	confidence	4	n/a	0.261
409.495	3.4	word	1	1	1.57
412.897	1.7	confidence	1	n/a	0.284
414.699	3.4	word	1	1	1.766
418.101	1.7	confidence	2	n/a	0.277
420.503	3.4	word	2	1	1.865
423.905	1.7	confidence	1	n/a	0.344
428.909	3.4	word	1	2	1.849
432.311	1.7	confidence	3	n/a	0.289
437.314	3.4	word	1	2	2.118
440.717	1.7	confidence	1	n/a	0.343
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
0.817	3.4	word	1	1	1.327
4.22	1.7	confidence	3	n/a	0.332
10.425	3.4	word	1	1	1.186
13.827	1.7	confidence	1	n/a	0.328
15.529	3.4	word	2	2	1.104
18.93	1.7	confidence	3	n/a	0.466
21.849	3.4	word	1	1	1.334
25.252	1.7	confidence	3	n/a	0.329
27.053	3.4	word	1	1	1.341
30.455	1.7	confidence	4	n/a	0.267
37.26	3.4	word	2	1	1.551
40.663	1.7	confidence	2	n/a	0.862
45.366	3.4	word	1	1	0.812
48.768	1.7	confidence	4	n/a	0.294
50.97	3.4	word	2	2	1.38
54.373	1.7	confidence	1	n/a	0.376
58.575	3.4	word	1	1	1.507
61.978	1.7	confidence	4	n/a	0.374
65.998	3.4	word	2	2	1.239
69.4	1.7	confidence	2	n/a	0.368
72.402	3.4	word	1	1	1.146
75.805	1.7	confidence	4	n/a	0.333
79.69	3.4	word	1	2	1.534
83.093	1.7	confidence	3	n/a	0.339
87.513	3.4	word	1	1	1.357
90.915	1.7	confidence	4	n/a	0.278
93.217	3.4	word	2	1	1.709
96.603	1.7	confidence	1	n/a	0.25
101.323	3.4	word	1	2	1.26
104.726	1.7	confidence	1	n/a	0.297
107.227	3.4	word	1	1	1.099
110.63	1.7	confidence	2	n/a	0.278
112.431	3.4	word	1	1	1.632
115.833	1.7	confidence	4	n/a	0.27
122.639	3.4	word	2	2	1.17
126.041	1.7	confidence	4	n/a	0.306
128.159	3.4	word	1	1	0.893
131.562	1.7	confidence	4	n/a	0.25
133.763	3.4	word	2	2	1.304
137.149	1.7	confidence	2	n/a	0.283
143.97	3.4	word	2	2	1.574
147.373	1.7	confidence	2	n/a	0.808
153.478	3.4	word	2	1	1.306
156.88	1.7	confidence	3	n/a	0.545
162.284	3.4	word	2	2	1.668
165.685	1.7	confidence	4	n/a	0.255
167.487	3.4	word	1	1	1.336
170.89	1.7	confidence	4	n/a	0.312
175.893	3.4	word	2	2	1.533
179.296	1.7	confidence	3	n/a	0.427
184.799	3.4	word	1	2	2.506
188.202	1.7	confidence	1	n/a	0.297
194.406	3.4	word	1	1	1.345
197.809	1.7	confidence	4	n/a	0.285
199.911	3.4	word	1	1	0.981
203.313	1.7	confidence	4	n/a	0.248
210.418	3.4	word	2	2	2.133
213.821	1.7	confidence	1	n/a	0.342
220.858	3.4	word	1	2	1.84
224.228	1.7	confidence	2	n/a	0.316
225.929	3.4	word	1	2	0.974
229.332	1.7	confidence	4	n/a	0.28
234.652	3.4	word	1	2	1.679
238.055	1.7	confidence	1	n/a	0.323
239.973	3.4	word	1	1	0.753
243.375	1.7	confidence	4	n/a	0.303
246.878	3.4	word	2	1	1.214
250.28	1.7	confidence	1	n/a	0.321
253.983	3.4	word	2	2	1.29
257.385	1.7	confidence	3	n/a	0.292
261.288	3.4	word	1	1	0.946
264.691	1.7	confidence	3	n/a	0.293
271.395	3.4	word	1	2	1.158
274.798	1.7	confidence	1	n/a	0.272
279.101	3.4	word	1	1	2.379
282.504	1.7	confidence	4	n/a	0.443
287.69	3.4	word	1	1	0.888
291.093	1.7	confidence	4	n/a	0.308
297.514	3.4	word	1	2	0.781
300.917	1.7	confidence	4	n/a	0.403
304.819	3.4	word	2	2	1.419
308.222	1.7	confidence	1	n/a	0.339
312.225	3.4	word	2	2	1.675
315.626	1.7	confidence	4	n/a	0.469
318.429	3.4	word	1	1	1.114
321.832	1.7	confidence	3	n/a	0.261
328.036	3.4	word	1	2	1.109
331.439	1.7	confidence	4	n/a	0.257
335.141	3.4	word	1	2	1.999
338.544	1.7	confidence	1	n/a	0.282
343.731	3.4	word	1	1	1.084
347.133	1.7	confidence	2	n/a	0.314
350.052	3.4	word	2	2	1.807
353.455	1.7	confidence	2	n/a	0.295
355.456	3.4	word	2	2	1.335
358.858	1.7	confidence	2	n/a	0.274
361.26	3.4	word	1	2	1.886
364.663	1.7	confidence	3	n/a	0.325
368.466	3.4	word	1	1	1.741
