onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
4.72	3.4	word	2	1	2.155
8.123	1.7	confidence	2	n/a	0.443
15.127	3.4	word	1	1	0.799
18.53	1.7	confidence	4	n/a	0.394
22.55	3.4	word	2	2	1.542
25.952	1.7	confidence	3	n/a	0.365
29.755	3.4	word	1	1	0.881
33.157	1.7	confidence	4	n/a	0.399
39.662	3.4	word	2	2	1.072
43.063	1.7	confidence	3	n/a	0.327
46.867	3.4	word	1	1	1.095
50.27	1.7	confidence	4	n/a	0.486
55.59	3.4	word	2	2	1.056
58.993	1.7	confidence	3	n/a	0.362
63.596	3.4	word	2	2	0.914
66.998	1.7	confidence	3	n/a	0.668
69.5	3.4	word	1	1	2.177
72.903	1.7	confidence	2	n/a	1.282
77.406	3.4	word	2	2	2.088
80.808	1.7	confidence	2	n/a	1.054
84.111	3.4	word	2	2	0.882
87.513	1.7	confidence	3	n/a	0.297
94.335	3.4	word	1	2	2.346
97.737	1.7	confidence	2	n/a	0.659
100.639	3.4	word	1	1	1.236
104.042	1.7	confidence	3	n/a	0.326
109.345	3.4	word	2	2	1.343
112.748	1.7	confidence	3	n/a	0.294
114.649	3.4	word	1	1	1.342
118.051	1.7	confidence	2	n/a	0.371
121.354	3.4	word	*	1	*
124.756	1.7	confidence	3	n/a	0.475
127.658	3.4	word	1	1	0.891
131.06	1.7	confidence	3	n/a	0.31
132.762	3.4	word	2	2	2.428
136.165	1.7	confidence	2	n/a	0.487
139.884	3.4	word	2	2	2.575
143.286	1.7	confidence	1	n/a	0.364
149.791	3.4	word	1	1	1.166
153.193	1.7	confidence	3	n/a	0.667
155.178	3.4	word	1	1	1.832
158.581	1.7	confidence	2	n/a	0.561
164.001	3.4	word	1	2	1.929
167.403	1.7	confidence	2	n/a	0.953
170.322	3.4	word	2	2	1.368
173.725	1.7	confidence	2	n/a	0.293
178.428	3.4	word	1	1	0.843
181.831	1.7	confidence	4	n/a	0.387
184.132	3.4	word	1	1	1.772
187.534	1.7	confidence	2	n/a	0.301
191.12	3.4	word	1	1	2.14
194.523	1.7	confidence	3	n/a	1.6
197.124	3.4	word	1	1	0.738
200.527	1.7	confidence	4	n/a	0.45
205.347	3.4	word	2	2	0.871
208.75	1.7	confidence	3	n/a	1.482
212.853	3.4	word	2	2	2.119
216.255	1.7	confidence	2	n/a	0.503
220.158	3.4	word	1	1	0.813
223.561	1.7	confidence	4	n/a	0.324
228.964	3.4	word	2	2	1.782
232.367	1.7	confidence	2	n/a	0.319
235.569	3.4	word	1	1	0.881
238.972	1.7	confidence	4	n/a	0.307
241.974	3.4	word	2	2	1.502
245.376	1.7	confidence	2	n/a	0.529
247.678	3.4	word	1	1	0.899
251.079	1.7	confidence	4	n/a	0.363
254.283	3.4	word	1	1	0.887
257.685	1.7	confidence	3	n/a	0.337
262.389	3.4	word	2	2	0.869
265.791	1.7	confidence	3	n/a	0.482
267.692	3.4	word	1	2	1.617
271.093	1.7	confidence	2	n/a	0.266
276.198	3.4	word	1	1	1.524
279.601	1.7	confidence	2	n/a	0.66
281.702	3.4	word	1	2	1.255
285.104	1.7	confidence	3	n/a	0.359
288.307	3.4	word	2	2	0.995
291.709	1.7	confidence	2	n/a	0.434
293.811	3.4	word	2	2	2.151
297.213	1.7	confidence	1	n/a	0.3
304.318	3.4	word	1	1	1.058
307.721	1.7	confidence	3	n/a	0.409
309.722	3.4	word	1	2	1.536
313.124	1.7	confidence	2	n/a	0.307
315.727	3.4	word	1	2	2.192
319.128	1.7	confidence	1	n/a	1.009
326.034	3.4	word	1	1	0.72
329.436	1.7	confidence	4	n/a	0.433
333.856	3.4	word	1	2	2.493
337.259	1.7	confidence	2	n/a	0.766
343.263	3.4	word	1	1	1.826
346.665	1.7	confidence	2	n/a	0.724
352.086	3.4	word	1	1	1.034
355.489	1.7	confidence	3	n/a	1.019
359.408	3.4	word	2	2	1.651
362.81	1.7	confidence	2	n/a	0.752
365.529	3.4	word	1	2	1.861
368.931	1.7	confidence	2	n/a	0.332
373.117	3.4	word	1	1	0.71
376.52	1.7	confidence	4	n/a	0.273
378.939	3.4	word	1	1	2.097
382.341	1.7	confidence	2	n/a	0.339
386.844	3.4	word	2	2	1.085
390.247	1.7	confidence	*	n/a	*
395.851	3.4	word	2	1	1.604
399.253	1.7	confidence	1	n/a	0.412
402.155	3.4	word	2	2	1.465
405.558	1.7	confidence	2	n/a	0.281
407.86	3.4	word	1	2	1.367
411.261	1.7	confidence	1	n/a	0.6
418.167	3.4	word	1	1	1.494
421.569	1.7	confidence	3	n/a	0.727
425.572	3.4	word	1	1	0.787
428.974	1.7	confidence	4	n/a	0.333
431.977	3.4	word	1	1	1.293
435.379	1.7	confidence	3	n/a	0.324
437.38	3.4	word	2	2	1.499
440.783	1.7	confidence	1	n/a	0.284
onset	duration	trial_type	stimuli_response	correct_answer	reaction_time
4.72	3.4	word	2	1	2.155
8.123	1.7	confidence	2	n/a	0.443
15.127	3.4	word	1	1	0.799
18.53	1.7	confidence	4	n/a	0.394
22.55	3.4	word	2	2	1.542
25.952	1.7	confidence	3	n/a	0.365
29.755	3.4	word	1	1	0.881
33.157	1.7	confidence	4	n/a	0.399
39.662	3.4	word	2	2	1.072
43.063	1.7	confidence	3	n/a	0.327
46.867	3.4	word	1	1	1.095
50.27	1.7	confidence	4	n/a	0.486
55.59	3.4	word	2	2	1.056
58.993	1.7	confidence	3	n/a	0.362
63.596	3.4	word	2	2	0.914
66.998	1.7	confidence	3	n/a	0.668
69.5	3.4	word	1	1	2.177
72.903	1.7	confidence	2	n/a	1.282
77.406	3.4	word	2	2	2.088
80.808	1.7	confidence	2	n/a	1.054
84.111	3.4	word	2	2	0.882
87.513	1.7	confidence	3	n/a	0.297
94.335	3.4	word	1	2	2.346
97.737	1.7	confidence	2	n/a	0.659
100.639	3.4	word	1	1	1.236
104.042	1.7	confidence	3	n/a	0.326
109.345	3.4	word	2	2	1.343
112.748	1.7	confidence	3	n/a	0.294
114.649	3.4	word	1	1	1.342
118.051	1.7	confidence	2	n/a	0.371
121.354	3.4	word	*	1	*
124.756	1.7	confidence	3	n/a	0.475
127.658	3.4	word	1	1	0.891
131.06	1.7	confidence	3	n/a	0.31
132.762	3.4	word	2	2	2.428
136.165	1.7	confidence	2	n/a	0.487
139.884	3.4	word	2	2	2.575
143.286	1.7	confidence	1	n/a	0.364
149.791	3.4	word	1	1	1.166
153.193	1.7	confidence	3	n/a	0.667
155.178	3.4	word	1	1	1.832
158.581	1.7	confidence	2	n/a	0.561
164.001	3.4	word	1	2	1.929
167.403	1.7	confidence	2	n/a	0.953
170.322	3.4	word	2	2	1.368
173.725	1.7	confidence	2	n/a	0.293
